tickerId,exchangeId,type,secType,regionId,currencyId,currencyCode,name,symbol,disSymbol,disExchangeCode,exchangeCode,listStatus,template,tradeTime,faTradeTime,status,close,change,changeRatio,volume,netAsset,totalAsset,regionName,regionIsoCode,peTtm,preClose,fiftyTwoWkHigh,fiftyTwoWkLow,open,high,low,vibrateRatio,nextEarningDay,estimateEarningsDate,pprice,pchange,pchRatio,unSymbol,tickerType,belongTickerId,direction,weekly,quoteLotSize,expireDate,strikePrice,trdStatus,price,quoteMultiplier,cycle,dt,position,middlePrice,turnover,positionChange,implVol,expirationType,marketValue,turnoverRate,rank_type
1033012550,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG240119P00068000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.39,0.00,0.0000,757,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2024-01-19,68,1,0.39,100,3,dr,363789,0.40,298.22,-500,0.1218,,,,position
1035726202,189,3,"[1, 34]",6,247,USD,Invesco QQQ Trust,QQQ240315P00345000,QQQ,NASDAQ,OPRA,1,derivative,2023-10-27T23:59:57.215+0000,2023-10-27T23:59:57.215+0000,A,17.43,-0.74,-0.0407,2325,139056373473,191362712486,United States,US,0,343.66,387.98,259.08,346.43,348.84,344.08,0.0139,,,345.43,0.12,0.0003,QQQ,7,913243249,put,0,100,2024-03-15,345,1,17.43,100,3,dr,363149,17.45,40269.95,-266,0.2385,,,,position
1038277526,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231220C00035000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.93,0.08,0.0941,306,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-12-20,35,0,0.93,100,3,dr,320717,0.89,276.63,-968,1.2349,1.0,,,position
1038283350,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231220C00040000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.69,0.06,0.0952,3197,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-12-20,40,0,0.69,100,3,dr,319740,0.68,1938.95,277,1.3187,1.0,,,position
1037776221,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115P00017000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.24,-0.09,-0.2727,63527,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,put,0,100,2023-11-15,17,0,0.24,100,3,dr,280252,0.22,17109.41,-16336,0.8359,1.0,,,position
1039455691,189,3,"[1, 34]",6,247,USD,iShares MSCI Emerging Markets ETF,EEM231117P00033000,EEM,NYSEARCA,OPRA,1,derivative,2023-10-27T23:26:44.709+0000,2023-10-27T23:26:44.709+0000,A,0.07,0.01,0.1667,929,24465162009,16278429441,United States,US,0.0000,36.56,42.53,33.92,36.89,36.95,36.47,0.0130,,,36.55,0.02,0.0005,EEM,7,913243879,put,0,100,2023-11-17,33,1,0.07,100,3,dr,270417,0.06,65.45,-4000,0.2854,,,,position
1036022696,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231117P00071000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.27,0.02,0.0800,37867,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-11-17,71,1,0.27,100,3,dr,252619,0.27,10433.22,31,0.0963,,,,position
1037697092,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231115C00047500,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.20,0.02,0.1111,30368,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-11-15,47.5,0,0.20,100,3,dr,241670,0.18,6072.39,5,1.9927,1.0,,,position
1036506355,189,3,"[2, 34]",6,247,USD,iShares iBoxx $ High Yield Corp Bd ETF,HYG231215P00065000,HYG,NYSEARCA,OPRA,1,derivative,2023-10-27T23:56:11.975+0000,2023-10-27T23:56:11.975+0000,A,0.07,0.02,0.4000,10251,31329737864,10875730200,United States,US,0.0000,72.45,77.34,71.68,72.52,72.61,72.23,0.0052,,,72.40,0.04,0.0006,HYG,7,913242920,put,0,100,2023-12-15,65,1,0.07,100,3,dr,239991,0.11,717.56,4882,0.1560,,,,position
1038284108,189,1,,6,247,USD,CBOE Market Volatility Index,VIX231220C00045000,VIX,CBOE,OPRA,1,derivative,2023-10-27T20:15:01.236+0000,,B,0.55,0.03,0.0577,283,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,VIX,7,925323875,call,0,100,2023-12-20,45,0,0.55,100,3,dr,235815,0.54,147.80,23,1.3897,1.0,,,position
