bt_tickerId,bt_exchangeId,bt_type,bt_secType,bt_regionId,bt_currencyId,bt_currencyCode,bt_name,bt_symbol,bt_disSymbol,bt_disExchangeCode,bt_exchangeCode,bt_listStatus,bt_template,bt_tradeTime,bt_faTradeTime,bt_status,bt_close,bt_change,bt_changeRatio,bt_marketValue,bt_volume,bt_turnoverRate,bt_regionName,bt_regionIsoCode,bt_peTtm,bt_preClose,bt_fiftyTwoWkHigh,bt_fiftyTwoWkLow,bt_open,bt_high,bt_low,bt_vibrateRatio,bt_nextEarningDay,bt_estimateEarningsDate,bt_pchange,bt_pchRatio,bt_pprice,d_tickerId,d_exchangeId,d_regionId,d_symbol,d_unSymbol,d_tickerType,d_exchangeCode,d_belongTickerId,d_direction,d_weekly,d_quoteLotSize,d_expireDate,d_strikePrice,d_trdStatus,d_price,d_close,d_change,d_changeRatio,d_template,d_quoteMultiplier,d_cycle,v_dt,v_tickerId,v_volume,v_position,v_price,v_changeRatio,v_change,v_belongTickerId,v_middlePrice,v_turnover,v_positionChange,v_implVol,bt_netAsset,bt_totalAsset,d_expirationType,rank_type
913256180,96,2,[61],6,247,USD,Amazon Com,AMZN,AMZN,NASDAQ,NSQ,1,stock,2023-10-27T23:59:51.127+0000,2023-10-27T23:59:51.127+0000,A,127.74,8.17,0.0683,1317989486681,125309313,0.0121,United States,US,101.5583,119.57,145.86,81.43,126.20,130.02,125.52,0.0376,2023-10-26,,-0.03,-0.0002,127.71,1040050691,189,6,AMZN240216C00115000,AMZN,7,OPRA,913256180,call,0,100,2024-02-16,115,1,19.44,19.44,5.12,0.3575,derivative,100,3,dr,1040050691,150619,1094,19.44,0.3575,5.12,913256180,19.90,3162465.80,110,0.3916,,,,volume
913256180,96,2,[61],6,247,USD,Amazon Com,AMZN,AMZN,NASDAQ,NSQ,1,stock,2023-10-27T23:59:51.127+0000,2023-10-27T23:59:51.127+0000,A,127.74,8.17,0.0683,1317989486681,125309313,0.0121,United States,US,101.5583,119.57,145.86,81.43,126.20,130.02,125.52,0.0376,2023-10-26,,-0.03,-0.0002,127.71,1039104963,189,6,AMZN231117C00120000,AMZN,7,OPRA,913256180,call,0,100,2023-11-17,120,1,9.57,9.57,3.22,0.5071,derivative,100,3,dr,1039104963,140898,158364,9.57,0.5071,3.22,913256180,9.75,1562425.20,4333,0.3773,,,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041818135,189,6,SPY231030P00410000,SPY,7,OPRA,913243251,put,1,100,2023-10-30,410,1,1.70,1.70,0.32,0.2319,derivative,100,2,dr,1041818135,127210,8055,1.70,0.2319,0.32,913243251,1.71,222074.42,239,0.1383,307954340358,382228994273,,volume
913244796,95,3,"[6, 34]",6,247,USD,ProShares UltraPro Short QQQ,SQQQ,SQQQ,NASDAQ,NMS,1,etf,2023-10-27T23:59:53.261+0000,2023-10-27T23:59:53.261+0000,A,22.75,-0.34,-0.0147,,184181118,,United States,US,0,23.09,63.57,16.38,22.55,23.02,22.06,0.0416,,,-0.02,-0.0009,22.73,1041471898,189,6,SQQQ231103C00023000,SQQQ,7,OPRA,913244796,call,1,100,2023-11-03,23,1,0.85,0.85,-0.31,-0.2672,derivative,100,2,dr,1041471898,106978,4013,0.85,-0.2672,-0.31,913244796,0.86,87699.37,742,0.7669,2731672779,3818286491,,volume
913243073,34,3,"[1, 34]",6,247,USD,iShares Russell 2000 ETF,IWM,IWM,NYSEARCA,PSE,1,etf,2023-10-27T23:58:49.940+0000,2023-10-27T23:58:49.940+0000,A,162.21,-1.93,-0.0118,,46017094,,United States,US,0.0000,164.14,199.26,161.67,164.52,164.83,161.67,0.0193,,,-0.20,-0.0012,162.01,1037990701,189,6,IWM231117P00182000,IWM,7,OPRA,913243073,put,0,100,2023-11-17,182,1,20.14,20.14,2.27,0.1270,derivative,100,3,dr,1037990701,101262,20020,20.14,0.1270,2.27,913243073,19.87,2029372.50,1,0.2085,41592328473,46987968789,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041823352,189,6,SPY231030C00414000,SPY,7,OPRA,913243251,call,1,100,2023-10-30,414,1,0.71,0.71,-1.87,-0.7248,derivative,100,2,dr,1041823352,93203,2087,0.71,-0.7248,-1.87,913243251,0.72,136985.42,1822,0.1294,307954340358,382228994273,,volume
925323875,196,1,,6,247,USD,CBOE Market Volatility Index,VIX,VIX,CBOE,CBOE-CSMI,1,index,2023-10-27T20:15:01.236+0000,,B,21.27,0.59,0.0285,,,,United States,US,0,20.68,34.88,12.68,20.39,22.07,19.72,0.114,,,,,,1040347262,189,6,VIX240417C00060000,VIX,7,OPRA,925323875,call,0,100,2024-04-17,60,0,0.77,0.77,0.05,0.0694,derivative,100,3,dr,1040347262,90137,29924,0.77,0.0694,0.05,925323875,0.73,69405.49,0,0.9985,,,1.0,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041846935,189,6,SPY231030P00412000,SPY,7,OPRA,913243251,put,1,100,2023-10-30,412,1,2.67,2.67,0.61,0.2961,derivative,100,2,dr,1041846935,88969,4141,2.67,0.2961,0.61,913243251,2.69,191666.73,1313,0.1343,307954340358,382228994273,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1041823404,189,6,SPY231030C00415000,SPY,7,OPRA,913243251,call,1,100,2023-10-30,415,1,0.48,0.48,-1.63,-0.7725,derivative,100,2,dr,1041823404,85563,3972,0.48,-0.7725,-1.63,913243251,0.49,102793.01,3758,0.1272,307954340358,382228994273,,volume
913243251,34,3,"[1, 34]",6,247,USD,SPDR® S&P 500 ETF Trust,SPY,SPY,NYSEARCA,PSE,1,etf,2023-10-27T23:59:57.783+0000,2023-10-27T23:59:57.783+0000,A,410.68,-1.87,-0.0045,,107367671,,United States,US,0.0000,412.55,459.44,368.79,414.19,414.60,409.21,0.0131,,,-0.28,-0.0007,410.40,1039224608,189,6,SPY231117P00405000,SPY,7,OPRA,913243251,put,0,100,2023-11-17,405,1,5.10,5.10,0.75,0.1724,derivative,100,3,dr,1039224608,81889,41575,5.10,0.1724,0.75,913243251,5.11,417320.38,4044,0.2067,307954340358,382228994273,,volume
