Date,Value
2019-12-31,128.0097
2019-12-30,128.3353
2019-12-27,128.6101
2019-12-26,129.0163
2019-12-24,129.1831
2019-12-23,129.2132
2019-12-20,129.1707
2019-12-19,129.0313
2019-12-18,129.0912
2019-12-17,128.9731
2019-12-16,129.0041
2019-12-13,129.1544
2019-12-12,129.3246
2019-12-11,129.6916
2019-12-10,129.7891
2019-12-09,129.8561
2019-12-06,130.0553
2019-12-05,129.929
2019-12-04,130.2402
2019-12-03,130.441
2019-12-02,130.472
2019-11-29,130.5986
2019-11-27,130.576
2019-11-26,130.4823
2019-11-25,130.4365
2019-11-22,130.3376
2019-11-21,130.1631
2019-11-20,130.242
2019-11-19,129.9191
2019-11-18,129.7366
2019-11-15,129.7867
2019-11-14,130.1764
2019-11-13,130.2002
2019-11-12,129.8995
2019-11-08,129.5896
2019-11-07,129.3297
2019-11-06,129.3541
2019-11-05,129.3829
2019-11-04,129.1788
2019-11-01,129.078
2019-10-31,129.2808
2019-10-30,129.547
2019-10-29,129.3579
2019-10-28,129.3878
2019-10-25,129.4284
2019-10-24,129.4763
2019-10-23,129.4087
2019-10-22,129.3638
2019-10-21,129.4359
2019-10-18,129.5407
2019-10-17,129.6486
2019-10-16,130.064
2019-10-15,130.2022
2019-10-11,130.2314
2019-10-10,130.6932
2019-10-09,131.1102
2019-10-08,131.1797
2019-10-07,131.0239
2019-10-04,130.9825
2019-10-03,131.1547
2019-10-02,131.4631
2019-10-01,131.451
2019-09-30,131.4406
2019-09-27,131.1768
2019-09-26,131.1859
2019-09-25,131.1063
2019-09-24,130.6443
2019-09-23,130.7148
2019-09-20,130.5538
2019-09-19,130.4758
2019-09-18,130.3476
2019-09-17,130.3755
2019-09-16,130.345
2019-09-13,130.1099
2019-09-12,130.1854
2019-09-11,130.736
2019-09-10,130.5016
2019-09-09,130.4944
2019-09-06,130.5494
2019-09-05,131.0042
2019-09-04,131.1839
2019-09-03,131.8808
2019-08-30,131.6829
2019-08-29,131.568
2019-08-28,131.4032
2019-08-27,131.257
2019-08-26,131.1395
2019-08-23,130.6671
2019-08-22,130.687
2019-08-21,130.4375
2019-08-20,130.6474
2019-08-19,130.6533
2019-08-16,130.3095
2019-08-15,130.4429
2019-08-14,130.2886
2019-08-13,129.9469
2019-08-12,129.9994
2019-08-09,129.6517
2019-08-08,129.6575
2019-08-07,130.0289
2019-08-06,129.8338
2019-08-05,129.777
2019-08-02,129.1475
2019-08-01,128.9097
2019-07-31,128.3152
2019-07-30,128.4226
2019-07-29,128.3976
2019-07-26,128.3352
2019-07-25,128.0723
2019-07-24,128.0024
2019-07-23,128.0707
2019-07-22,127.772
2019-07-19,127.6331
2019-07-18,127.6341
2019-07-17,127.6303
2019-07-16,127.7604
2019-07-15,127.4437
2019-07-12,127.5463
2019-07-11,127.5891
2019-07-10,127.864
2019-07-09,127.8842
2019-07-08,127.8061
2019-07-05,127.9017
2019-07-03,127.5767
2019-07-02,127.578
2019-07-01,127.4294
2019-06-28,127.3274
2019-06-27,127.427
2019-06-26,127.32
2019-06-25,127.3973
2019-06-24,127.4154
2019-06-21,127.5771
2019-06-20,127.5015
2019-06-19,128.6186
2019-06-18,128.6951
2019-06-17,128.8439
2019-06-14,128.7749
2019-06-13,128.5107
2019-06-12,128.315
2019-06-11,128.2497
2019-06-10,128.4084
2019-06-07,128.6217
2019-06-06,128.8619
2019-06-05,128.8977
2019-06-04,128.9562
2019-06-03,129.3305
2019-05-31,129.5836
2019-05-30,129.2462
2019-05-29,129.4236
2019-05-28,129.1851
2019-05-24,128.934
2019-05-23,129.1082
2019-05-22,129.1097
2019-05-21,129.1579
2019-05-20,129.1963
2019-05-17,129.3362
2019-05-16,128.859
2019-05-15,128.6654
