Date,Value
2021-10-01,4478.71
2021-07-01,4099.571
2021-04-01,3925.069
2021-01-01,3927.984
2020-10-01,3923.164
2020-07-01,3708.799
2020-04-01,3166.987
2020-01-01,3752.361
2019-10-01,3801.943
2019-07-01,3858.192
2019-04-01,3842.963
2019-01-01,3801.932
2018-10-01,3717.518
2018-07-01,3679.569
2018-04-01,3603.22
2018-01-01,3550.839
2017-10-01,3471.425
2017-07-01,3413.3
2017-04-01,3357.362
2017-01-01,3283.481
2016-10-01,3281.493
2016-07-01,3185.73
2016-04-01,3178.537
2016-01-01,3174.386
2015-10-01,3206.098
2015-07-01,3251.67
2015-04-01,3245.825
2015-01-01,3245.05
2014-10-01,3139.452
2014-07-01,3107.62
2014-04-01,3030.425
2014-01-01,2899.216
2013-10-01,2910.546
2013-07-01,2879.995
2013-04-01,2775.276
2013-01-01,2738.236
2012-10-01,2638.282
2012-07-01,2644.119
2012-04-01,2636.863
2012-01-01,2567.75
2011-10-01,2504.095
2011-07-01,2322.84
2011-04-01,2297.352
2011-01-01,2205.962
2010-10-01,2238.44
2010-07-01,2236.495
2010-04-01,2148.795
2010-01-01,2038.161
2009-10-01,1998.71
2009-07-01,1841.416
2009-04-01,1863.65
2009-01-01,2014.878
2008-10-01,2307.915
2008-07-01,2498.242
2008-04-01,2540.595
2008-01-01,2563.701
2007-10-01,2642.56
2007-07-01,2685.969
2007-04-01,2699.217
2007-01-01,2664.295
2006-10-01,2675.406
2006-07-01,2709.42
2006-04-01,2709.252
2006-01-01,2709.74
2005-10-01,2645.263
2005-07-01,2531.076
2005-04-01,2476.474
2005-01-01,2486.068
2004-10-01,2390.082
2004-07-01,2318.272
2004-04-01,2262.607
2004-01-01,2154.052
2003-10-01,2131.311
2003-07-01,2044.304
2003-04-01,1972.386
2003-01-01,1960.221
2002-10-01,1942.531
2002-07-01,1933.197
2002-04-01,1933.282
2002-01-01,1912.659
2001-10-01,1850.091
2001-07-01,1944.909
2001-04-01,1973.033
2001-01-01,1971.333
2000-10-01,2067.227
2000-07-01,2059.969
2000-04-01,2075.786
2000-01-01,1950.65
1999-10-01,1953.097
1999-07-01,1893.735
1999-04-01,1848.341
1999-01-01,1853.063
1998-10-01,1796.964
1998-07-01,1741.623
1998-04-01,1695.773
1998-01-01,1712.324
1997-10-01,1644.529
1997-07-01,1625.251
1997-04-01,1590.218
1997-01-01,1522.404
1996-10-01,1480.128
1996-07-01,1474.35
1996-04-01,1418.388
1996-01-01,1355.353
1995-10-01,1335.135
1995-07-01,1303.248
1995-04-01,1303.988
1995-01-01,1327.586
1994-10-01,1307.566
1994-07-01,1251.749
1994-04-01,1264.948
1994-01-01,1201.675
1993-10-01,1153.142
1993-07-01,1095.852
1993-04-01,1094.479
1993-01-01,1083.829
1992-10-01,1057.962
1992-07-01,1024.162
1992-04-01,1013.084
1992-01-01,956.817
1991-10-01,978.788
1991-07-01,947.476
1991-04-01,926.541
1991-01-01,924.569
1990-10-01,947.453
1990-07-01,1000.785
1990-04-01,1014.72
1990-01-01,1010.838
1989-10-01,995.809
1989-07-01,996.46
1989-04-01,1001.047
1989-01-01,1005.487
1988-10-01,962.748
1988-07-01,942.009
1988-04-01,934.525
1988-01-01,908.569
1987-10-01,946.459
1987-07-01,876.466
1987-04-01,874.588
1987-01-01,871.196
1986-10-01,842.063
1986-07-01,835.832
1986-04-01,855.237
1986-01-01,863.457
1985-10-01,859.545
1985-07-01,822.157
1985-04-01,827.04
1985-01-01,809.865
1984-10-01,831.741
1984-07-01,838.852
1984-04-01,818.894
1984-01-01,790.872
1983-10-01,718.496
1983-07-01,652.269
1983-04-01,613.783
1983-01-01,565.52
1982-10-01,549.242
1982-07-01,592.954
1982-04-01,593.621
1982-01-01,588.318
1981-10-01,643.395
1981-07-01,652.297
1981-04-01,609.843
1981-01-01,619.381
1980-10-01,551.472
1980-07-01,495.071
1980-04-01,519.294
1980-01-01,554.562
1979-10-01,547.875
1979-07-01,545.621
1979-04-01,539.293
1979-01-01,525.809
1978-10-01,515.755
1978-07-01,492.368
1978-04-01,470.584
1978-01-01,434.799
1977-10-01,422.299
1977-07-01,414.134
1977-04-01,389.703
1977-01-01,360.313
1976-10-01,337.65
1976-07-01,328.307
1976-04-01,322.303
1976-01-01,304.638
1975-10-01,276.236
1975-07-01,265.192
1975-04-01,243.281
1975-01-01,244.306
1974-10-01,281.339
1974-07-01,271.013
1974-04-01,277.391
1974-01-01,268.361
1973-10-01,280.858
1973-07-01,264.335
1973-04-01,268.196
1973-01-01,254.313
1972-10-01,239.715
1972-07-01,233.09
1972-04-01,226.798
1972-01-01,212.968
1971-10-01,198.411
1971-07-01,202.058
1971-04-01,197.329
1971-01-01,189.495
1970-10-01,166.754
1970-07-01,173.904
1970-04-01,171.455
1970-01-01,168.113
1969-10-01,171.573
1969-07-01,177.564
1969-04-01,172.721
1969-01-01,172.388
1968-10-01,160.76
1968-07-01,155.683
1968-04-01,158.943
1968-01-01,152.288
1967-10-01,147.653
1967-07-01,142.835
1967-04-01,137.495
1967-01-01,142.811
1966-10-01,145.855
1966-07-01,143.194
1966-04-01,143.501
1966-01-01,144.2
1965-10-01,133.752
1965-07-01,131.237
1965-04-01,127.052
1965-01-01,126.542
1964-10-01,114.984
1964-07-01,112.631
1964-04-01,110.518
1964-01-01,110.474
1963-10-01,107.189
1963-07-01,104.612
1963-04-01,101.65
1963-01-01,99.689
1962-10-01,94.968
1962-07-01,98.16
1962-04-01,96.706
1962-01-01,98.074
1961-10-01,92.931
1961-07-01,90.917
1961-04-01,84.108
1961-01-01,78.378
1960-10-01,75.963
1960-07-01,86.377
1960-04-01,87.096
1960-01-01,96.476
1959-10-01,86.524
1959-07-01,83.606
1959-04-01,89.381
1959-01-01,83.166
1958-10-01,80.001
1958-07-01,71.999
1958-04-01,65.065
1958-01-01,66.73
1957-10-01,71.045
1957-07-01,79.339
1957-04-01,77.907
1957-01-01,77.728
1956-10-01,77.145
1956-07-01,78.267
1956-04-01,77.02
1956-01-01,78.303
1955-10-01,78.882
1955-07-01,74.747
1955-04-01,72.688
1955-01-01,68.702
1954-10-01,62.139
1954-07-01,58.971
1954-04-01,55.449
1954-01-01,55.717
1953-10-01,56.446
1953-07-01,61.435
1953-04-01,62.115
1953-01-01,61.663
1952-10-01,60.737
1952-07-01,57.22
1952-04-01,53.004
1952-01-01,58.132
1951-10-01,57.084
1951-07-01,61.981
1951-04-01,67.383
1951-01-01,64.582
1950-10-01,68.441
1950-07-01,58.641
1950-04-01,52.291
1950-01-01,46.749
1949-10-01,37.468
1949-07-01,39.549
1949-04-01,36.241
1949-01-01,43.14
1948-10-01,51.334
1948-07-01,52.516
1948-04-01,50.336
1948-01-01,47.202
1947-10-01,43.25
1947-07-01,34.911
1947-04-01,34.505
1947-01-01,35.854
