Date,Value
2020-03-13,-0.07
2020-03-06,-0.942
2020-02-28,-1.215
2020-02-21,-1.596
2020-02-14,-1.604
2020-02-07,-1.517
2020-01-31,-1.462
2020-01-24,-1.556
2020-01-17,-1.561
2020-01-10,-1.463
2020-01-03,-1.412
2019-12-27,-1.391
2019-12-20,-1.422
2019-12-13,-1.343
2019-12-06,-1.325
2019-11-29,-1.371
2019-11-22,-1.316
2019-11-15,-1.308
2019-11-08,-1.29
2019-11-01,-1.313
2019-10-25,-1.274
2019-10-18,-1.204
2019-10-11,-1.177
2019-10-04,-1.159
2019-09-27,-1.262
2019-09-20,-1.272
2019-09-13,-1.3
2019-09-06,-1.294
2019-08-30,-1.257
2019-08-23,-1.233
2019-08-16,-1.169
2019-08-09,-1.221
2019-08-02,-1.337
2019-07-26,-1.345
2019-07-19,-1.313
2019-07-12,-1.338
2019-07-05,-1.357
2019-06-28,-1.247
2019-06-21,-1.226
2019-06-14,-1.197
2019-06-07,-1.168
2019-05-31,-1.168
2019-05-24,-1.217
2019-05-17,-1.221
2019-05-10,-1.233
2019-05-03,-1.317
2019-04-26,-1.298
2019-04-19,-1.297
2019-04-12,-1.272
2019-04-05,-1.234
2019-03-29,-1.19
2019-03-22,-1.242
2019-03-15,-1.214
2019-03-08,-1.173
2019-03-01,-1.172
2019-02-22,-1.155
2019-02-15,-1.085
2019-02-08,-1.031
2019-02-01,-0.95
2019-01-25,-0.88
2019-01-18,-0.867
2019-01-11,-0.801
2019-01-04,-0.633
2018-12-28,-0.475
2018-12-21,-0.601
2018-12-14,-0.737
2018-12-07,-0.77
2018-11-30,-0.84
2018-11-23,-0.799
2018-11-16,-0.865
2018-11-09,-0.94
2018-11-02,-0.869
2018-10-26,-0.937
2018-10-19,-1.062
2018-10-12,-1.044
2018-10-05,-1.194
2018-09-28,-1.225
2018-09-21,-1.235
2018-09-14,-1.225
2018-09-07,-1.199
2018-08-31,-1.238
2018-08-24,-1.231
2018-08-17,-1.168
2018-08-10,-1.188
2018-08-03,-1.136
2018-07-27,-1.129
2018-07-20,-1.14
2018-07-13,-1.1
2018-07-06,-1.037
2018-06-29,-0.998
2018-06-22,-1.059
2018-06-15,-1.065
2018-06-08,-1.066
2018-06-01,-1.004
2018-05-25,-1.061
2018-05-18,-1.028
2018-05-11,-1.032
2018-05-04,-0.965
2018-04-27,-0.952
2018-04-20,-0.978
2018-04-13,-0.883
2018-04-06,-0.81
2018-03-30,-0.835
2018-03-23,-0.87
2018-03-16,-1.029
2018-03-09,-1.018
2018-03-02,-1.021
2018-02-23,-1.08
2018-02-16,-1.053
2018-02-09,-0.974
2018-02-02,-1.261
2018-01-26,-1.343
2018-01-19,-1.374
2018-01-12,-1.399
2018-01-05,-1.393
2017-12-29,-1.377
2017-12-22,-1.353
2017-12-15,-1.418
2017-12-08,-1.435
2017-12-01,-1.461
2017-11-24,-1.486
2017-11-17,-1.438
2017-11-10,-1.484
2017-11-03,-1.472
2017-10-27,-1.405
2017-10-20,-1.447
2017-10-13,-1.424
2017-10-06,-1.407
2017-09-29,-1.415
2017-09-22,-1.411
2017-09-15,-1.4
2017-09-08,-1.378
2017-09-01,-1.371
2017-08-25,-1.34
2017-08-18,-1.344
2017-08-11,-1.368
2017-08-04,-1.439
2017-07-28,-1.461
2017-07-21,-1.45
2017-07-14,-1.36
2017-07-07,-1.331
2017-06-30,-1.36
2017-06-23,-1.362
2017-06-16,-1.417
2017-06-09,-1.434
2017-06-02,-1.421
2017-05-26,-1.385
2017-05-19,-1.318
2017-05-12,-1.33
2017-05-05,-1.287
2017-04-28,-1.261
2017-04-21,-1.162
2017-04-14,-1.149
2017-04-07,-1.201
2017-03-31,-1.192
2017-03-24,-1.147
2017-03-17,-1.15
2017-03-10,-1.187
2017-03-03,-1.164
2017-02-24,-1.112
2017-02-17,-1.095
2017-02-10,-1.094
2017-02-03,-1.033
2017-01-27,-1.03
2017-01-20,-1.017
2017-01-13,-1.04
2017-01-06,-1.009
2016-12-30,-0.977
2016-12-23,-0.965
2016-12-16,-0.939
2016-12-09,-1.012
2016-12-02,-0.938
2016-11-25,-0.964
2016-11-18,-0.912
2016-11-11,-0.966
2016-11-04,-0.909
2016-10-28,-1.048
2016-10-21,-1.05
2016-10-14,-1.003
2016-10-07,-1.049
2016-09-30,-1.037
2016-09-23,-0.937
2016-09-16,-0.907
2016-09-09,-1.031
2016-09-02,-1.027
2016-08-26,-1.022
2016-08-19,-1.051
2016-08-12,-1.008
2016-08-05,-0.987
2016-07-29,-1.043
2016-07-22,-1.067
2016-07-15,-1.063
2016-07-08,-0.981
2016-07-01,-0.88
2016-06-24,-0.852
2016-06-17,-0.819
2016-06-10,-0.951
2016-06-03,-0.931
2016-05-27,-0.925
2016-05-20,-0.899
2016-05-13,-0.913
2016-05-06,-0.848
2016-04-29,-0.872
2016-04-22,-0.858
2016-04-15,-0.813
2016-04-08,-0.768
2016-04-01,-0.76
2016-03-25,-0.79
2016-03-18,-0.733
2016-03-11,-0.636
2016-03-04,-0.606
2016-02-26,-0.513
2016-02-19,-0.423
2016-02-12,-0.323
2016-02-05,-0.504
2016-01-29,-0.509
2016-01-22,-0.386
2016-01-15,-0.443
2016-01-08,-0.497
2016-01-01,-0.597
2015-12-25,-0.597
2015-12-18,-0.57
2015-12-11,-0.691
2015-12-04,-0.811
2015-11-27,-0.836
2015-11-20,-0.812
2015-11-13,-0.834
2015-11-06,-0.87
2015-10-30,-0.894
2015-10-23,-0.871
2015-10-16,-0.82
2015-10-09,-0.747
2015-10-02,-0.632
2015-09-25,-0.735
2015-09-18,-0.754
2015-09-11,-0.726
2015-09-04,-0.656
2015-08-28,-0.598
2015-08-21,-0.858
2015-08-14,-0.986
2015-08-07,-0.998
2015-07-31,-1.027
2015-07-24,-1.034
2015-07-17,-1.008
2015-07-10,-0.917
2015-07-03,-0.909
2015-06-26,-1.021
2015-06-19,-1.008
2015-06-12,-0.995
2015-06-05,-1.033
2015-05-29,-1.107
2015-05-22,-1.092
2015-05-15,-1.096
2015-05-08,-1.1
2015-05-01,-1.212
2015-04-24,-1.251
2015-04-17,-1.238
2015-04-10,-1.199
2015-04-03,-1.141
2015-03-27,-1.136
2015-03-20,-1.112
2015-03-13,-1.081
2015-03-06,-1.114
2015-02-27,-1.129
2015-02-20,-1.055
2015-02-13,-1.05
2015-02-06,-1.062
2015-01-30,-1.057
2015-01-23,-1.034
2015-01-16,-1.002
2015-01-09,-1.021
2015-01-02,-1.087
2014-12-26,-1.109
2014-12-19,-0.999
2014-12-12,-1.069
2014-12-05,-1.179
2014-11-28,-1.23
2014-11-21,-1.182
2014-11-14,-1.217
2014-11-07,-1.211
2014-10-31,-1.194
2014-10-24,-1.137
2014-10-17,-0.987
2014-10-10,-1.162
2014-10-03,-1.169
2014-09-26,-1.197
2014-09-19,-1.225
2014-09-12,-1.256
2014-09-05,-1.318
2014-08-29,-1.368
2014-08-22,-1.337
2014-08-15,-1.312
2014-08-08,-1.252
2014-08-01,-1.311
2014-07-25,-1.376
2014-07-18,-1.367
2014-07-11,-1.379
2014-07-04,-1.386
2014-06-27,-1.411
2014-06-20,-1.382
2014-06-13,-1.375
2014-06-06,-1.349
2014-05-30,-1.386
2014-05-23,-1.345
2014-05-16,-1.338
2014-05-09,-1.314
2014-05-02,-1.302
2014-04-25,-1.295
2014-04-18,-1.265
2014-04-11,-1.259
2014-04-04,-1.223
2014-03-28,-1.24
2014-03-21,-1.21
2014-03-14,-1.217
2014-03-07,-1.226
2014-02-28,-1.243
2014-02-21,-1.199
2014-02-14,-1.179
2014-02-07,-1.101
2014-01-31,-1.118
2014-01-24,-1.178
2014-01-17,-1.206
2014-01-10,-1.136
2014-01-03,-1.103
2013-12-27,-1.144
2013-12-20,-1.109
2013-12-13,-1.086
2013-12-06,-1.07
2013-11-29,-1.144
2013-11-22,-1.148
2013-11-15,-1.131
2013-11-08,-1.118
2013-11-01,-1.157
2013-10-25,-1.154
2013-10-18,-1.061
2013-10-11,-0.949
2013-10-04,-0.943
2013-09-27,-1.007
2013-09-20,-0.951
2013-09-13,-0.836
2013-09-06,-0.761
2013-08-30,-0.841
2013-08-23,-0.827
2013-08-16,-0.961
2013-08-09,-1.032
2013-08-02,-1.001
2013-07-26,-1.047
2013-07-19,-1.004
2013-07-12,-0.85
2013-07-05,-0.779
2013-06-28,-0.767
2013-06-21,-0.915
2013-06-14,-0.99
2013-06-07,-1.046
2013-05-31,-1.147
2013-05-24,-1.274
2013-05-17,-1.323
2013-05-10,-1.391
2013-05-03,-1.397
2013-04-26,-1.371
2013-04-19,-1.319
2013-04-12,-1.353
2013-04-05,-1.29
2013-03-29,-1.304
2013-03-22,-1.273
2013-03-15,-1.314
2013-03-08,-1.285
2013-03-01,-1.257
2013-02-22,-1.265
2013-02-15,-1.249
2013-02-08,-1.215
2013-02-01,-1.205
2013-01-25,-1.284
2013-01-18,-1.286
2013-01-11,-1.235
2013-01-04,-1.193
2012-12-28,-1.153
2012-12-21,-1.178
2012-12-14,-1.223
2012-12-07,-1.223
2012-11-30,-1.202
2012-11-23,-1.181
2012-11-16,-1.142
2012-11-09,-1.123
2012-11-02,-1.104
2012-10-26,-1.111
2012-10-19,-1.161
2012-10-12,-1.137
2012-10-05,-1.135
2012-09-28,-1.121
2012-09-21,-1.137
2012-09-14,-1.047
2012-09-07,-0.998
2012-08-31,-0.976
2012-08-24,-0.965
2012-08-17,-0.929
2012-08-10,-0.94
2012-08-03,-0.919
2012-07-27,-0.912
2012-07-20,-0.915
2012-07-13,-0.859
2012-07-06,-0.81
2012-06-29,-0.781
2012-06-22,-0.729
2012-06-15,-0.604
2012-06-08,-0.599
2012-06-01,-0.655
2012-05-25,-0.695
2012-05-18,-0.735
2012-05-11,-0.851
2012-05-04,-0.841
2012-04-27,-0.808
2012-04-20,-0.759
2012-04-13,-0.707
2012-04-06,-0.715
2012-03-30,-0.751
2012-03-23,-0.687
2012-03-16,-0.733
2012-03-09,-0.722
2012-03-02,-0.747
2012-02-24,-0.709
2012-02-17,-0.67
2012-02-10,-0.649
2012-02-03,-0.638
2012-01-27,-0.533
2012-01-20,-0.504
2012-01-13,-0.427
2012-01-06,-0.375
2011-12-30,-0.337
2011-12-23,-0.326
2011-12-16,-0.29
2011-12-09,-0.238
2011-12-02,-0.186
2011-11-25,-0.133
2011-11-18,-0.164
2011-11-11,-0.227
2011-11-04,-0.238
2011-10-28,-0.261
2011-10-21,-0.14
2011-10-14,-0.093
2011-10-07,0.027
2011-09-30,-0.051
2011-09-23,-0.186
2011-09-16,-0.227
2011-09-09,-0.229
2011-09-02,-0.268
2011-08-26,-0.165
2011-08-19,-0.297
2011-08-12,-0.189
2011-08-05,-0.549
2011-07-29,-0.634
2011-07-22,-0.636
2011-07-15,-0.603
2011-07-08,-0.636
2011-07-01,-0.609
2011-06-24,-0.619
2011-06-17,-0.626
2011-06-10,-0.694
2011-06-03,-0.734
2011-05-27,-0.747
2011-05-20,-0.727
2011-05-13,-0.706
2011-05-06,-0.698
2011-04-29,-0.734
2011-04-22,-0.7
2011-04-15,-0.646
2011-04-08,-0.59
2011-04-01,-0.573
2011-03-25,-0.565
2011-03-18,-0.468
2011-03-11,-0.548
2011-03-04,-0.561
2011-02-25,-0.543
2011-02-18,-0.567
2011-02-11,-0.547
2011-02-04,-0.542
2011-01-28,-0.587
2011-01-21,-0.564
2011-01-14,-0.568
2011-01-07,-0.495
2010-12-31,-0.472
2010-12-24,-0.484
2010-12-17,-0.4
2010-12-10,-0.453
2010-12-03,-0.454
2010-11-26,-0.521
2010-11-19,-0.499
2010-11-12,-0.602
2010-11-05,-0.602
2010-10-29,-0.571
2010-10-22,-0.598
2010-10-15,-0.631
2010-10-08,-0.559
2010-10-01,-0.555
2010-09-24,-0.507
2010-09-17,-0.431
2010-09-10,-0.384
2010-09-03,-0.346
2010-08-27,-0.339
2010-08-20,-0.367
2010-08-13,-0.371
2010-08-06,-0.372
2010-07-30,-0.311
2010-07-23,-0.227
2010-07-16,-0.176
2010-07-09,-0.089
2010-07-02,-0.015
2010-06-25,-0.055
2010-06-18,0.041
2010-06-11,0.183
2010-06-04,0.15
2010-05-28,0.158
2010-05-21,0.058
2010-05-14,-0.113
2010-05-07,-0.194
2010-04-30,-0.387
2010-04-23,-0.464
2010-04-16,-0.429
2010-04-09,-0.374
2010-04-02,-0.349
2010-03-26,-0.358
2010-03-19,-0.429
2010-03-12,-0.405
2010-03-05,-0.339
2010-02-26,-0.277
2010-02-19,-0.198
2010-02-12,-0.15
2010-02-05,-0.222
2010-01-29,-0.216
2010-01-22,-0.28
2010-01-15,-0.29
2010-01-08,-0.186
2010-01-01,-0.116
2009-12-25,-0.118
2009-12-18,-0.127
2009-12-11,-0.086
2009-12-04,-0.106
2009-11-27,-0.12
2009-11-20,-0.08
2009-11-13,-0.011
2009-11-06,0.139
2009-10-30,0.134
2009-10-23,0.048
2009-10-16,0.107
2009-10-09,0.113
2009-10-02,0.148
2009-09-25,0.176
2009-09-18,0.27
2009-09-11,0.365
2009-09-04,0.515
2009-08-28,0.523
2009-08-21,0.621
2009-08-14,0.685
2009-08-07,0.723
2009-07-31,0.83
2009-07-24,0.938
2009-07-17,1.051
2009-07-10,1.088
2009-07-03,1.172
2009-06-26,1.323
2009-06-19,1.394
2009-06-12,1.407
2009-06-05,1.511
2009-05-29,1.574
2009-05-22,1.509
2009-05-15,1.668
2009-05-08,1.822
2009-05-01,2.1
2009-04-24,2.221
2009-04-17,2.226
2009-04-10,2.411
2009-04-03,2.496
2009-03-27,2.65
2009-03-20,2.819
2009-03-13,3.046
2009-03-06,3.097
2009-02-27,2.895
2009-02-20,2.762
2009-02-13,2.655
2009-02-06,2.705
2009-01-30,3.003
2009-01-23,2.803
2009-01-16,2.546
2009-01-09,2.855
2009-01-02,3.246
2008-12-26,3.308
2008-12-19,3.684
2008-12-12,4.195
2008-12-05,4.327
2008-11-28,4.336
2008-11-21,4.302
2008-11-14,3.769
2008-11-07,3.945
2008-10-31,4.664
2008-10-24,4.46
2008-10-17,5.249
2008-10-10,4.974
2008-10-03,3.8
2008-09-26,2.774
2008-09-19,2.426
2008-09-12,1.341
2008-09-05,1.199
2008-08-29,1.143
2008-08-22,1.148
2008-08-15,1.1
2008-08-08,1.183
2008-08-01,1.239
2008-07-25,1.279
2008-07-18,1.4
2008-07-11,1.166
2008-07-04,1.105
2008-06-27,1.097
2008-06-20,0.986
2008-06-13,0.986
2008-06-06,0.84
2008-05-30,0.766
