Date,Value
2022-01-01,77.6051
2021-12-01,76.5927
2021-11-01,76.7163
2021-10-01,76.0841
2021-09-01,75.0806
2021-08-01,76.0601
2021-07-01,76.155
2021-06-01,75.6645
2021-05-01,75.2817
2021-04-01,74.7932
2021-03-01,74.7524
2021-02-01,72.6804
2021-01-01,74.9577
2020-12-01,74.1138
2020-11-01,73.2628
2020-10-01,72.8666
2020-09-01,72.0688
2020-08-01,72.2742
2020-07-01,71.5036
2020-06-01,68.6814
2020-05-01,64.6616
2020-04-01,63.4145
2020-03-01,73.3818
2020-02-01,76.2968
2020-01-01,76.1241
2019-12-01,76.5336
2019-11-01,76.8343
2019-10-01,76.4731
2019-09-01,77.1588
2019-08-01,77.4983
2019-07-01,77.0927
2019-06-01,77.4223
2019-05-01,77.5675
2019-04-01,77.5208
2019-03-01,78.0936
2019-02-01,78.1055
2019-01-01,78.6612
2018-12-01,79.2144
2018-11-01,79.3702
2018-10-01,79.544
2018-09-01,79.7637
2018-08-01,79.889
2018-07-01,79.4994
2018-06-01,79.3804
2018-05-01,78.8409
2018-04-01,79.5363
2018-03-01,78.6889
2018-02-01,78.1811
2018-01-01,77.9294
2017-12-01,77.8953
2017-11-01,77.7644
2017-10-01,77.4782
2017-09-01,76.4526
2017-08-01,76.3405
2017-07-01,76.6453
2017-06-01,76.6411
2017-05-01,76.451
2017-04-01,76.3052
2017-03-01,75.5451
2017-02-01,74.9418
2017-01-01,75.2006
2016-12-01,75.3
2016-11-01,74.7874
2016-10-01,75.1285
2016-09-01,75.093
2016-08-01,75.2029
2016-07-01,75.3583
2016-06-01,75.2442
2016-05-01,74.9356
2016-04-01,75.0886
2016-03-01,74.8947
2016-02-01,75.4857
2016-01-01,75.8877
2015-12-01,75.3941
2015-11-01,75.8304
2015-10-01,76.3951
2015-09-01,76.6991
2015-08-01,76.9536
2015-07-01,77.1568
2015-06-01,76.6418
2015-05-01,76.9059
2015-04-01,77.2637
2015-03-01,77.7558
2015-02-01,78.0444
2015-01-01,78.5594
2014-12-01,79.2034
2014-11-01,79.309
2014-10-01,78.8636
2014-09-01,78.9374
2014-08-01,78.761
2014-07-01,78.9991
2014-06-01,78.8696
2014-05-01,78.6857
2014-04-01,78.451
2014-03-01,78.4763
2014-02-01,77.7792
2014-01-01,77.2587
2013-12-01,77.573
2013-11-01,77.4869
2013-10-01,77.3471
2013-09-01,77.5183
2013-08-01,77.1515
2013-07-01,76.7706
2013-06-01,77.0665
2013-05-01,77.0434
2013-04-01,77.0686
2013-03-01,77.2149
2013-02-01,76.9934
2013-01-01,76.7262
2012-12-01,76.8745
2012-11-01,76.813
2012-10-01,76.5822
2012-09-01,76.4671
2012-08-01,76.6371
2012-07-01,77.0784
2012-06-01,77.0371
2012-05-01,77.1817
2012-04-01,77.2004
2012-03-01,76.752
2012-02-01,77.275
2012-01-01,77.1975
2011-12-01,76.8793
2011-11-01,76.6337
2011-10-01,76.7285
2011-09-01,76.3618
2011-08-01,76.5299
2011-07-01,76.1646
2011-06-01,75.838
2011-05-01,75.7093
2011-04-01,75.6316
2011-03-01,75.9143
2011-02-01,75.139
2011-01-01,75.4561
2010-12-01,75.5556
2010-11-01,74.7743
2010-10-01,74.6624
2010-09-01,74.7374
2010-08-01,74.4508
2010-07-01,74.0648
2010-06-01,73.6056
2010-05-01,73.3014
2010-04-01,72.137
2010-03-01,71.7047
2010-02-01,71.0219
2010-01-01,70.6453
2009-12-01,69.7232
2009-11-01,69.3842
2009-10-01,69.0069
2009-09-01,68.7242
2009-08-01,68.1148
2009-07-01,67.3243
2009-06-01,66.561
2009-05-01,66.8
2009-04-01,67.5319
2009-03-01,68.1152
2009-02-01,69.2878
2009-01-01,69.819
2008-12-01,71.6772
2008-11-01,73.857
2008-10-01,74.9126
2008-09-01,74.305
2008-08-01,77.6987
2008-07-01,78.9632
2008-06-01,79.3417
2008-05-01,79.4928
2008-04-01,79.9244
2008-03-01,80.4051
2008-02-01,80.6213
2008-01-01,80.8657
2007-12-01,80.9388
2007-11-01,80.9219
2007-10-01,80.4577
2007-09-01,80.7298
2007-08-01,80.5934
2007-07-01,80.483
2007-06-01,80.6949
2007-05-01,80.8186
2007-04-01,80.9345
2007-03-01,80.5411
2007-02-01,80.5617
2007-01-01,79.9991
2006-12-01,80.5131
2006-11-01,79.8945
2006-10-01,80.1324
2006-09-01,80.4152
2006-08-01,80.7269
2006-07-01,80.5383
2006-06-01,80.7381
2006-05-01,80.6239
2006-04-01,80.7538
2006-03-01,80.6162
2006-02-01,80.5248
2006-01-01,80.631
2005-12-01,80.6391
2005-11-01,80.308
2005-10-01,79.5717
2005-09-01,78.746
2005-08-01,80.4053
2005-07-01,80.2331
2005-06-01,80.6002
2005-05-01,80.3826
2005-04-01,80.4
2005-03-01,80.3315
2005-02-01,80.5368
2005-01-01,80.0224
2004-12-01,79.7675
2004-11-01,79.2244
2004-10-01,79.0601
2004-09-01,78.362
2004-08-01,78.2988
2004-07-01,78.2261
2004-06-01,77.6379
2004-05-01,78.2343
2004-04-01,77.6584
2004-03-01,77.3194
2004-02-01,77.6095
2004-01-01,77.1391
2003-12-01,76.9889
2003-11-01,76.9328
2003-10-01,76.4093
2003-09-01,76.3122
2003-08-01,75.7805
2003-07-01,75.925
2003-06-01,75.5207
2003-05-01,75.3999
2003-04-01,75.4005
2003-03-01,75.8546
2003-02-01,76.0598
2003-01-01,75.9486
2002-12-01,75.305
2002-11-01,75.6978
2002-10-01,75.2601
2002-09-01,75.4735
2002-08-01,75.3905
2002-07-01,75.4864
2002-06-01,75.5378
2002-05-01,74.9555
2002-04-01,74.7
2002-03-01,74.4143
2002-02-01,73.9277
2002-01-01,74.0293
2001-12-01,73.6608
2001-11-01,73.8039
2001-10-01,74.3928
2001-09-01,74.7935
2001-08-01,75.3482
2001-07-01,75.6086
2001-06-01,76.2705
2001-05-01,76.9045
2001-04-01,77.585
2001-03-01,78.0617
2001-02-01,78.4971
2001-01-01,79.2838
2000-12-01,80.0017
2000-11-01,80.5026
2000-10-01,80.7593
2000-09-01,81.3334
2000-08-01,81.2628
2000-07-01,81.7438
2000-06-01,82.1806
2000-05-01,82.4148
2000-04-01,82.4445
2000-03-01,82.2006
2000-02-01,82.1719
2000-01-01,82.1543
1999-12-01,82.4812
1999-11-01,82.1349
1999-10-01,81.9959
1999-09-01,81.2179
1999-08-01,81.8739
1999-07-01,81.8194
1999-06-01,81.6243
1999-05-01,81.988
1999-04-01,81.7933
1999-03-01,81.9349
1999-02-01,82.1157
1999-01-01,82.0059
1998-12-01,82.009
1998-11-01,82.0561
1998-10-01,82.522
1998-09-01,82.3127
1998-08-01,82.8229
1998-07-01,81.5809
1998-06-01,82.3632
1998-05-01,83.3625
1998-04-01,83.364
1998-03-01,83.588
1998-02-01,84.1044
1998-01-01,84.5239
1997-12-01,84.6954
1997-11-01,84.8593
1997-10-01,84.7422
1997-09-01,84.5485
1997-08-01,84.2441
1997-07-01,83.873
1997-06-01,83.6735
1997-05-01,83.7483
1997-04-01,83.7382
1997-03-01,84.0892
1997-02-01,84.0045
1997-01-01,83.4246
1996-12-01,83.6775
1996-11-01,83.5569
1996-10-01,83.2128
1996-09-01,83.6351
1996-08-01,83.4649
1996-07-01,83.4423
1996-06-01,83.8253
1996-05-01,83.5797
1996-04-01,83.3674
1996-03-01,82.8951
1996-02-01,83.3832
1996-01-01,82.5602
1995-12-01,83.3953
1995-11-01,83.4456
1995-10-01,83.6038
1995-09-01,84.0787
1995-08-01,84.0625
1995-07-01,83.2907
1995-06-01,83.9707
1995-05-01,84.0063
1995-04-01,83.9193
1995-03-01,84.3346
1995-02-01,84.4948
1995-01-01,84.9102
1994-12-01,85.0547
1994-11-01,84.4868
1994-10-01,84.2042
1994-09-01,83.8303
1994-08-01,83.8338
1994-07-01,83.5519
1994-06-01,83.6992
1994-05-01,83.4067
1994-04-01,83.2507
1994-03-01,82.9714
1994-02-01,82.3563
1994-01-01,82.4937
1993-12-01,82.4049
1993-11-01,82.1338
1993-10-01,81.8951
1993-09-01,81.411
1993-08-01,81.1344
1993-07-01,81.3481
1993-06-01,81.2716
1993-05-01,81.2078
1993-04-01,81.6359
1993-03-01,81.5154
1993-02-01,81.7077
1993-01-01,81.4667
1992-12-01,81.2632
1992-11-01,81.2994
1992-10-01,81.1317
1992-09-01,80.7198
1992-08-01,80.644
1992-07-01,81.2574
1992-06-01,80.6997
1992-05-01,80.8311
1992-04-01,80.745
1992-03-01,80.3033
1992-02-01,79.8145
1992-01-01,79.3963
1991-12-01,79.9622
1991-11-01,80.4312
1991-10-01,80.6543
1991-09-01,80.8724
1991-08-01,80.2798
1991-07-01,80.3581
1991-06-01,80.2242
1991-05-01,79.6774
1991-04-01,78.9786
1991-03-01,78.8273
1991-02-01,79.3495
1991-01-01,80.0032
1990-12-01,80.3932
1990-11-01,81.0458
1990-10-01,82.1657
1990-09-01,82.8016
1990-08-01,82.9161
1990-07-01,82.7448
1990-06-01,83.0137
1990-05-01,82.8942
1990-04-01,82.8493
1990-03-01,83.1795
1990-02-01,82.9676
1990-01-01,82.4122
1989-12-01,83.0312
1989-11-01,82.7548
1989-10-01,82.6853
1989-09-01,82.9913
1989-08-01,83.4582
1989-07-01,82.8331
1989-06-01,83.8416
1989-05-01,84.0266
1989-04-01,84.6639
1989-03-01,84.8256
1989-02-01,84.7392
1989-01-01,85.2321
1988-12-01,85.0883
1988-11-01,84.7906
1988-10-01,84.6491
1988-09-01,84.35
1988-08-01,84.6653
1988-07-01,84.2634
1988-06-01,84.286
1988-05-01,84.0901
1988-04-01,84.2727
1988-03-01,83.8286
1988-02-01,83.6923
1988-01-01,83.3469
1987-12-01,83.4277
1987-11-01,83.0701
1987-10-01,82.7814
1987-09-01,81.7799
1987-08-01,81.6206
1987-07-01,81.1735
1987-06-01,80.768
1987-05-01,80.5
1987-04-01,80.1474
1987-03-01,79.7929
1987-02-01,79.8311
1987-01-01,78.9208
1986-12-01,79.3474
1986-11-01,78.6981
1986-10-01,78.5139
1986-09-01,78.2851
1986-08-01,78.1455
1986-07-01,78.353
1986-06-01,77.9693
1986-05-01,78.3488
1986-04-01,78.2963
1986-03-01,78.295
1986-02-01,78.959
1986-01-01,79.6116
1985-12-01,79.3273
1985-11-01,78.6619
1985-10-01,78.524
1985-09-01,78.9699
1985-08-01,78.8235
1985-07-01,78.7334
1985-06-01,79.3292
1985-05-01,79.5582
1985-04-01,79.6583
1985-03-01,80.0014
1985-02-01,80.0949
1985-01-01,80.0182
1984-12-01,80.2928
1984-11-01,80.4367
1984-10-01,80.3526
1984-09-01,80.5685
1984-08-01,80.968
1984-07-01,81.0388
1984-06-01,80.9647
1984-05-01,80.8403
1984-04-01,80.5571
1984-03-01,80.2112
1984-02-01,79.9369
1984-01-01,79.6798
1983-12-01,78.1954
1983-11-01,77.8966
1983-10-01,77.6142
1983-09-01,77.0763
1983-08-01,76.0097
1983-07-01,75.1392
1983-06-01,74.0591
1983-05-01,73.6537
1983-04-01,73.2034
1983-03-01,72.3231
1983-02-01,71.7627
1983-01-01,72.2259
1982-12-01,70.9365
1982-11-01,71.5131
1982-10-01,71.7908
1982-09-01,72.5295
1982-08-01,72.8214
1982-07-01,73.5624
1982-06-01,73.9222
1982-05-01,74.2387
1982-04-01,74.8707
1982-03-01,75.7069
1982-02-01,76.377
1982-01-01,75.0108
1981-12-01,76.7288
1981-11-01,77.7262
1981-10-01,78.8201
1981-09-01,79.6007
1981-08-01,80.1766
1981-07-01,80.4651
1981-06-01,80.1286
1981-05-01,79.929
1981-04-01,79.6754
1981-03-01,80.2474
1981-02-01,80.0496
1981-01-01,80.5897
1980-12-01,81.2916
1980-11-01,80.9267
1980-10-01,79.7991
1980-09-01,78.9813
1980-08-01,77.8365
1980-07-01,77.7541
1980-06-01,78.5124
1980-05-01,79.6837
1980-04-01,81.8721
1980-03-01,83.6528
1980-02-01,84.1601
1980-01-01,84.2821
1979-12-01,84.0141
1979-11-01,84.1204
1979-10-01,84.4236
1979-09-01,84.0261
1979-08-01,84.2344
1979-07-01,84.9634
1979-06-01,85.3066
1979-05-01,85.5089
1979-04-01,85.0047
1979-03-01,86.2078
1979-02-01,86.175
1979-01-01,85.9761
1978-12-01,86.7001
1978-11-01,86.4938
1978-10-01,86.0755
1978-09-01,85.6698
1978-08-01,85.67
1978-07-01,85.5411
1978-06-01,85.8624
1978-05-01,85.5878
1978-04-01,85.4144
1978-03-01,83.9708
1978-02-01,82.603
1978-01-01,82.3935
1977-12-01,83.8301
1977-11-01,83.9566
1977-10-01,84.0299
1977-09-01,84.1472
1977-08-01,84.0251
1977-07-01,84.1501
1977-06-01,84.2799
1977-05-01,83.8721
1977-04-01,83.4422
1977-03-01,82.8338
1977-02-01,82.0182
1977-01-01,80.919
1976-12-01,81.6354
1976-11-01,80.9867
1976-10-01,79.9359
1976-09-01,80.1159
1976-08-01,80.0681
1976-07-01,79.7063
1976-06-01,79.4301
1976-05-01,79.5293
1976-04-01,79.3716
1976-03-01,79.1367
1976-02-01,79.1414
1976-01-01,78.5252
1975-12-01,77.6327
1975-11-01,76.728
1975-10-01,76.7776
1975-09-01,76.5936
1975-08-01,75.7426
1975-07-01,75.1028
1975-06-01,74.4948
1975-05-01,74.146
1975-04-01,74.4892
1975-03-01,74.4627
1975-02-01,75.4175
1975-01-01,77.3261
1974-12-01,78.5357
1974-11-01,81.5938
1974-10-01,84.504
1974-09-01,84.9463
1974-08-01,85.096
1974-07-01,86.1911
1974-06-01,86.2476
1974-05-01,86.5942
1974-04-01,86.1599
1974-03-01,86.6181
1974-02-01,86.8455
1974-01-01,87.3605
1973-12-01,88.2249
1973-11-01,88.733
1973-10-01,88.6019
1973-09-01,88.2205
1973-08-01,87.8055
1973-07-01,88.2384
1973-06-01,88.1945
1973-05-01,88.4144
1973-04-01,88.1207
1973-03-01,88.5329
1973-02-01,88.8018
1973-01-01,87.8323
1972-12-01,87.4692
1972-11-01,86.765
1972-10-01,86.0073
1972-09-01,85.188
1972-08-01,84.7658
1972-07-01,83.8453
1972-06-01,84.1458
1972-05-01,84.1552
1972-04-01,84.351
1972-03-01,83.723
1972-02-01,83.3409
1972-01-01,82.676
1971-12-01,80.9492
1971-11-01,80.2244
1971-10-01,80.0844
1971-09-01,79.688
1971-08-01,78.61
1971-07-01,79.2674
1971-06-01,79.6983
1971-05-01,79.5656
1971-04-01,79.3641
1971-03-01,79.121
1971-02-01,79.4081
1971-01-01,79.7621
1970-12-01,79.3744
1970-11-01,77.8285
1970-10-01,78.5416
1970-09-01,80.39
1970-08-01,81.1964
1970-07-01,81.5918
1970-06-01,81.6433
1970-05-01,82.1617
1970-04-01,82.5131
1970-03-01,82.9835
1970-02-01,83.3511
1970-01-01,83.6671
1969-12-01,85.5276
1969-11-01,86.0563
1969-10-01,87.1786
1969-09-01,87.4585
1969-08-01,87.7857
1969-07-01,87.8936
1969-06-01,87.7416
1969-05-01,87.2014
1969-04-01,87.8444
1969-03-01,88.4843
1969-02-01,88.1111
1969-01-01,87.866
1968-12-01,87.6621
1968-11-01,87.7206
1968-10-01,86.933
1968-09-01,87.0953
1968-08-01,87.1024
1968-07-01,87.1975
1968-06-01,87.6721
1968-05-01,87.6931
