Date,Value
2021-07-01,2721.601
2021-04-01,2690.388
2021-01-01,2367.593
2020-10-01,2164.457
2020-07-01,2148.157
2020-04-01,1577.736
2020-01-01,1743.383
2019-10-01,1963.58
2019-07-01,1923.429
2019-04-01,1985.5
2019-01-01,1937.217
2018-10-01,2005.318
2018-07-01,1986.036
2018-04-01,1972.005
2018-01-01,1946.553
2017-10-01,1774.88
2017-07-01,1948.142
2017-04-01,1895.574
2017-01-01,1911.243
2016-10-01,1823.484
2016-07-01,1753.676
2016-04-01,1758.389
2016-01-01,1696.75
2015-10-01,1635.297
2015-07-01,1732.347
2015-04-01,1789.321
2015-01-01,1770.989
2014-10-01,1879.109
2014-07-01,1917.769
2014-04-01,1865.14
2014-01-01,1767.596
2013-10-01,1838.838
2013-07-01,1792.757
2013-04-01,1757.557
2013-01-01,1766.372
2012-10-01,1785.961
2012-07-01,1818.331
2012-04-01,1801.743
2012-01-01,1880.022
2011-10-01,1617.095
2011-07-01,1539.465
2011-04-01,1529.084
2011-01-01,1464.223
2010-10-01,1599.159
2010-07-01,1600.154
2010-04-01,1517.068
2010-01-01,1530.604
2009-10-01,1462.942
2009-07-01,1346.957
2009-04-01,1161.627
2009-01-01,1082.708
2008-10-01,721.414
2008-07-01,1226.043
2008-04-01,1285.329
2008-01-01,1260.771
2007-10-01,1368.063
2007-07-01,1345.84
2007-04-01,1400.804
2007-01-01,1325.943
2006-10-01,1398.202
2006-07-01,1444.791
2006-04-01,1425.152
2006-01-01,1387.911
2005-10-01,1363.54
2005-07-01,1296.981
2005-04-01,1252.584
2005-01-01,1228.657
2004-10-01,1010.647
2004-07-01,1010.194
2004-04-01,967.703
2004-01-01,928.229
2003-10-01,816.612
2003-07-01,763.915
2003-04-01,723.377
2003-01-01,721.524
2002-10-01,725.113
2002-07-01,652.139
2002-04-01,596.152
2002-01-01,538.088
2001-10-01,489.453
2001-07-01,505.61
2001-04-01,551.684
2001-01-01,528.836
2000-10-01,491.81
2000-07-01,513.298
2000-04-01,519.811
2000-01-01,527.574
1999-10-01,556.245
1999-07-01,536.775
1999-04-01,537.853
1999-01-01,523.039
1998-10-01,490.487
1998-07-01,507.761
1998-04-01,512.233
1998-01-01,514.609
1997-10-01,589.208
1997-07-01,587.262
1997-04-01,565.264
1997-01-01,546.764
1996-10-01,534.89
1996-07-01,522.644
1996-04-01,526.924
1996-01-01,524.958
1995-10-01,505.677
1995-07-01,498.739
1995-04-01,491.19
1995-01-01,467.603
1994-10-01,453.102
1994-07-01,439.704
1994-04-01,418.333
1994-01-01,404.995
1993-10-01,375.422
1993-07-01,355.933
1993-04-01,343.279
1993-01-01,328.957
1992-10-01,330.015
