Date,Value
2021-12-01,18240.9
2021-11-01,18201.0
2021-10-01,18122.8
2021-09-01,18035.1
2021-08-01,18268.7
2021-07-01,18218.6
2021-06-01,18001.7
2021-05-01,17980.6
2021-04-01,18429.9
2021-03-01,21698.9
2021-02-01,17546.6
2021-01-01,19120.3
2020-12-01,17272.2
2020-11-01,17175.6
2020-10-01,17398.9
2020-09-01,17476.8
2020-08-01,17349.6
2020-07-01,17960.6
2020-06-01,17805.6
2020-05-01,18024.0
2020-04-01,18919.4
2020-03-01,16444.3
2020-02-01,16734.8
2020-01-01,16622.6
2019-12-01,16444.3
2019-11-01,16457.9
2019-10-01,16373.6
2019-09-01,16319.7
2019-08-01,16274.6
2019-07-01,16184.4
2019-06-01,16142.7
2019-05-01,16115.1
2019-04-01,16110.1
2019-03-01,16107.1
2019-02-01,16073.8
2019-01-01,16027.8
2018-12-01,16042.2
2018-11-01,15862.8
2018-10-01,15826.9
2018-09-01,15762.6
2018-08-01,15741.1
2018-07-01,15685.5
2018-06-01,15618.1
2018-05-01,15551.5
2018-04-01,15476.3
2018-03-01,15404.8
2018-02-01,15328.8
2018-01-01,15255.8
2017-12-01,15098.0
2017-11-01,15046.3
2017-10-01,15003.1
2017-09-01,14945.0
2017-08-01,14866.3
2017-07-01,14817.4
2017-06-01,14775.3
2017-05-01,14758.2
2017-04-01,14664.0
2017-03-01,14605.4
2017-02-01,14550.6
2017-01-01,14485.0
2016-12-01,14371.3
2016-11-01,14316.3
2016-10-01,14279.4
2016-09-01,14227.7
2016-08-01,14172.3
2016-07-01,14138.9
2016-06-01,14085.5
2016-05-01,14052.1
2016-04-01,14038.5
2016-03-01,14018.4
2016-02-01,13984.9
2016-01-01,13978.7
2015-12-01,13920.3
2015-11-01,13865.2
2015-10-01,13858.9
2015-09-01,13832.2
2015-08-01,13814.3
2015-07-01,13782.3
2015-06-01,13738.6
2015-05-01,13703.7
2015-04-01,13648.4
2015-03-01,13608.0
2015-02-01,13621.1
2015-01-01,13550.3
2014-12-01,13536.8
2014-11-01,13467.1
2014-10-01,13407.7
2014-09-01,13353.0
2014-08-01,13305.6
2014-07-01,13244.1
2014-06-01,13185.2
2014-05-01,13116.7
2014-04-01,13046.8
2014-03-01,12969.8
2014-02-01,12873.2
2014-01-01,12797.9
2013-12-01,12711.9
2013-11-01,12659.6
2013-10-01,12608.2
2013-09-01,12623.9
2013-08-01,12566.2
2013-07-01,12517.6
2013-06-01,12513.2
2013-05-01,12483.2
2013-04-01,12414.9
2013-03-01,12387.3
2013-02-01,12366.0
2013-01-01,12355.2
2012-12-01,13088.6
2012-11-01,12780.1
2012-10-01,12622.9
2012-09-01,12500.4
2012-08-01,12373.5
2012-07-01,12364.1
2012-06-01,12445.5
2012-05-01,12459.4
2012-04-01,12469.6
2012-03-01,12398.1
2012-02-01,12328.2
2012-01-01,12227.6
2011-12-01,12103.0
2011-11-01,11982.6
2011-10-01,11962.4
2011-09-01,11949.4
2011-08-01,11948.9
2011-07-01,11928.8
2011-06-01,11868.4
2011-05-01,11827.0
2011-04-01,11808.8
2011-03-01,11780.4
2011-02-01,11765.9
2011-01-01,11701.6
2010-12-01,11614.1
2010-11-01,11520.9
2010-10-01,11488.1
2010-09-01,11450.7
2010-08-01,11439.6
2010-07-01,11386.8
2010-06-01,11362.0
2010-05-01,11360.0
2010-04-01,11272.2
2010-03-01,11172.9
2010-02-01,11112.8
2010-01-01,11102.5
2009-12-01,11064.5
2009-11-01,11001.9
2009-10-01,10943.4
2009-09-01,10935.1
2009-08-01,10884.9
2009-07-01,10873.9
2009-06-01,10920.3
2009-05-01,11057.7
2009-04-01,10890.7
2009-03-01,10812.8
2009-02-01,10829.7
2009-01-01,10921.5
2008-12-01,10861.8
2008-11-01,10977.5
2008-10-01,11016.6
2008-09-01,11008.5
2008-08-01,10976.0
2008-07-01,11048.9
2008-06-01,11170.1
2008-05-01,11377.8
2008-04-01,10803.0
2008-03-01,10824.8
2008-02-01,10796.0
2008-01-01,10779.8
2007-12-01,10751.4
2007-11-01,10689.5
2007-10-01,10643.5
2007-09-01,10614.5
2007-08-01,10554.6
2007-07-01,10542.1
2007-06-01,10515.1
2007-05-01,10499.3
2007-04-01,10463.9
2007-03-01,10425.7
2007-02-01,10355.7
2007-01-01,10291.2
2006-12-01,10259.7
2006-11-01,10175.4
2006-10-01,10129.6
2006-09-01,10105.5
2006-08-01,10075.6
2006-07-01,10050.0
2006-06-01,10017.3
2006-05-01,9978.9
2006-04-01,9958.9
2006-03-01,9917.6
2006-02-01,9859.2
2006-01-01,9805.0
2005-12-01,9651.6
2005-11-01,9617.8
2005-10-01,9578.3
2005-09-01,9515.2
2005-08-01,9460.0
2005-07-01,9406.6
2005-06-01,9354.1
2005-05-01,9327.0
2005-04-01,9280.3
2005-03-01,9224.8
2005-02-01,9162.5
2005-01-01,9131.3
2004-12-01,9463.5
2004-11-01,9120.4
2004-10-01,9111.1
2004-09-01,9067.1
2004-08-01,9042.5
2004-07-01,9008.1
2004-06-01,8977.5
2004-05-01,8944.8
2004-04-01,8870.8
2004-03-01,8824.2
2004-02-01,8775.1
2004-01-01,8741.1
2003-12-01,8712.6
2003-11-01,8686.8
2003-10-01,8624.0
2003-09-01,8590.4
2003-08-01,8661.5
2003-07-01,8573.0
2003-06-01,8445.9
2003-05-01,8412.3
2003-04-01,8356.4
2003-03-01,8321.4
2003-02-01,8280.4
2003-01-01,8275.1
2002-12-01,8262.6
2002-11-01,8235.0
2002-10-01,8204.8
2002-09-01,8166.5
2002-08-01,8142.3
2002-07-01,8123.9
2002-06-01,8126.2
2002-05-01,8091.4
2002-04-01,8053.4
2002-03-01,7992.7
2002-02-01,7965.7
2002-01-01,7940.7
2001-12-01,7772.8
2001-11-01,7767.5
2001-10-01,7763.9
2001-09-01,7875.3
2001-08-01,7970.4
2001-07-01,7842.5
2001-06-01,7732.3
2001-05-01,7719.8
2001-04-01,7718.7
2001-03-01,7728.1
2001-02-01,7707.4
2001-01-01,7686.4
2000-12-01,7610.0
2000-11-01,7584.3
2000-10-01,7571.7
2000-09-01,7541.1
2000-08-01,7500.8
2000-07-01,7455.8
2000-06-01,7398.2
2000-05-01,7352.9
2000-04-01,7316.4
2000-03-01,7285.2
2000-02-01,7234.5
2000-01-01,7184.0
1999-12-01,7117.9
1999-11-01,7046.5
1999-10-01,6994.2
1999-09-01,6943.3
1999-08-01,6926.3
1999-07-01,6883.5
1999-06-01,6851.1
1999-05-01,6824.8
1999-04-01,6807.4
1999-03-01,6795.7
1999-02-01,6783.9
1999-01-01,6764.0
1998-12-01,6717.3
1998-11-01,6697.6
1998-10-01,6669.7
1998-09-01,6645.6
1998-08-01,6629.9
1998-07-01,6599.4
1998-06-01,6571.5
1998-05-01,6540.0
1998-04-01,6504.5
1998-03-01,6476.1
1998-02-01,6438.1
1998-01-01,6401.0
1997-12-01,6342.1
1997-11-01,6307.1
1997-10-01,6266.3
1997-09-01,6227.3
1997-08-01,6196.1
1997-07-01,6159.1
1997-06-01,6132.3
1997-05-01,6104.8
1997-04-01,6081.0
1997-03-01,6070.4
1997-02-01,6035.3
1997-01-01,6006.0
1996-12-01,5981.0
1996-11-01,5953.8
1996-10-01,5927.0
1996-09-01,5909.5
1996-08-01,5879.0
1996-07-01,5858.4
1996-06-01,5861.3
1996-05-01,5826.2
1996-04-01,5743.3
1996-03-01,5760.7
1996-02-01,5724.9
1996-01-01,5672.0
1995-12-01,5651.7
1995-11-01,5633.2
1995-10-01,5617.9
1995-09-01,5597.0
1995-08-01,5574.9
1995-07-01,5559.2
1995-06-01,5539.8
1995-05-01,5517.8
1995-04-01,5454.1
1995-03-01,5480.3
1995-02-01,5455.1
1995-01-01,5434.5
1994-12-01,5406.0
1994-11-01,5378.0
1994-10-01,5367.9
1994-09-01,5308.3
1994-08-01,5279.4
1994-07-01,5261.2
1994-06-01,5240.3
1994-05-01,5235.8
1994-04-01,5168.6
