Date,Value
2020-01-01,67521.0
2019-01-01,69560.0
2018-01-01,65127.0
2017-01-01,64557.0
2016-01-01,63683.0
2015-01-01,61748.0
2014-01-01,58725.0
2013-01-01,59640.0
2012-01-01,57623.0
2011-01-01,57732.0
2010-01-01,58627.0
2009-01-01,60200.0
2008-01-01,60624.0
2007-01-01,62865.0
2006-01-01,62033.0
2005-01-01,61553.0
2004-01-01,60901.0
2003-01-01,61113.0
2002-01-01,61190.0
2001-01-01,61889.0
2000-01-01,63292.0
1999-01-01,63423.0
1998-01-01,61891.0
1997-01-01,59697.0
1996-01-01,58494.0
1995-01-01,57655.0
1994-01-01,55905.0
1993-01-01,55263.0
1992-01-01,55559.0
1991-01-01,55992.0
1990-01-01,57677.0
1989-01-01,58425.0
1988-01-01,57433.0
1987-01-01,56964.0
1986-01-01,56291.0
1985-01-01,54334.0
1984-01-01,53337.0
