Date,Value
2021-12-01,1988.2
2021-11-01,2072.4
2021-10-01,2098.1
2021-09-01,2008.5
2021-08-01,1997.1
2021-07-01,1979.8
2021-06-01,2060.5
2021-05-01,2065.7
2021-04-01,2150.3
2021-03-01,2124.0
2021-02-01,1836.9
2021-01-01,1912.6
2020-12-01,1719.9
2020-11-01,1763.7
2020-10-01,1794.0
2020-09-01,1774.6
2020-08-01,1754.4
2020-07-01,1730.9
2020-06-01,1676.9
2020-05-01,1532.5
2020-04-01,1195.4
2020-03-01,1353.9
2020-02-01,1550.0
2020-01-01,1550.8
2019-12-01,1540.6
2019-11-01,1547.1
2019-10-01,1529.9
2019-09-01,1542.5
2019-08-01,1528.4
2019-07-01,1523.4
2019-06-01,1520.6
2019-05-01,1510.3
2019-04-01,1496.9
2019-03-01,1494.3
2019-02-01,1462.2
2019-01-01,1463.4
2018-12-01,1447.6
2018-11-01,1505.0
2018-10-01,1480.8
2018-09-01,1475.0
2018-08-01,1482.6
2018-07-01,1477.1
2018-06-01,1471.2
2018-05-01,1475.8
2018-04-01,1466.7
2018-03-01,1452.7
2018-02-01,1453.0
2018-01-01,1442.4
2017-12-01,1454.1
2017-11-01,1443.8
2017-10-01,1425.5
2017-09-01,1417.3
2017-08-01,1384.8
2017-07-01,1391.1
2017-06-01,1384.3
2017-05-01,1372.3
2017-04-01,1374.4
2017-03-01,1366.5
2017-02-01,1375.0
2017-01-01,1370.5
2016-12-01,1377.0
2016-11-01,1344.7
2016-10-01,1362.6
2016-09-01,1358.0
2016-08-01,1351.6
2016-07-01,1354.5
2016-06-01,1347.9
2016-05-01,1330.7
2016-04-01,1329.1
2016-03-01,1323.3
2016-02-01,1342.7
2016-01-01,1320.2
2015-12-01,1323.7
2015-11-01,1323.0
2015-10-01,1308.8
2015-09-01,1316.6
2015-08-01,1322.5
2015-07-01,1316.5
2015-06-01,1309.8
2015-05-01,1311.3
2015-04-01,1307.8
2015-03-01,1301.4
2015-02-01,1276.7
2015-01-01,1273.3
2014-12-01,1272.7
2014-11-01,1272.8
2014-10-01,1263.7
2014-09-01,1259.8
2014-08-01,1258.6
2014-07-01,1248.4
2014-06-01,1249.4
2014-05-01,1238.6
2014-04-01,1230.3
2014-03-01,1231.9
2014-02-01,1204.7
2014-01-01,1173.9
2013-12-01,1190.4
2013-11-01,1201.7
2013-10-01,1191.4
2013-09-01,1188.3
2013-08-01,1187.7
2013-07-01,1190.8
2013-06-01,1186.9
2013-05-01,1187.1
2013-04-01,1182.3
2013-03-01,1180.5
2013-02-01,1193.2
2013-01-01,1192.6
2012-12-01,1180.1
2012-11-01,1169.4
2012-10-01,1141.2
2012-09-01,1151.9
2012-08-01,1138.4
2012-07-01,1134.7
2012-06-01,1129.9
2012-05-01,1133.4
2012-04-01,1137.4
2012-03-01,1138.0
2012-02-01,1145.9
2012-01-01,1130.4
2011-12-01,1114.9
2011-11-01,1107.9
2011-10-01,1114.4
2011-09-01,1101.3
2011-08-01,1085.2
2011-07-01,1085.7
2011-06-01,1076.6
2011-05-01,1081.2
2011-04-01,1090.9
2011-03-01,1095.0
2011-02-01,1083.8
2011-01-01,1085.0
2010-12-01,1078.7
2010-11-01,1077.5
2010-10-01,1079.2
2010-09-01,1056.1
2010-08-01,1053.7
2010-07-01,1047.5
2010-06-01,1044.1
2010-05-01,1041.7
2010-04-01,1046.0
2010-03-01,1052.0
2010-02-01,1005.2
2010-01-01,1006.1
2009-12-01,1021.6
2009-11-01,1017.4
2009-10-01,1003.6
2009-09-01,995.4
2009-08-01,1089.1
2009-07-01,1020.8
2009-06-01,1006.4
2009-05-01,998.9
2009-04-01,978.8
2009-03-01,984.2
2009-02-01,1006.2
2009-01-01,1023.0
2008-12-01,995.0
2008-11-01,1002.4
2008-10-01,1026.6
2008-09-01,1073.2
2008-08-01,1114.3
2008-07-01,1100.0
2008-06-01,1130.4
2008-05-01,1143.7
2008-04-01,1139.1
2008-03-01,1143.7
2008-02-01,1148.4
2008-01-01,1168.4
2007-12-01,1180.0
2007-11-01,1197.7
2007-10-01,1209.0
2007-09-01,1202.6
2007-08-01,1192.4
2007-07-01,1180.7
2007-06-01,1178.2
2007-05-01,1197.7
2007-04-01,1181.2
2007-03-01,1178.5
2007-02-01,1175.1
2007-01-01,1183.5
2006-12-01,1175.5
2006-11-01,1164.4
2006-10-01,1168.3
2006-09-01,1166.9
2006-08-01,1146.0
2006-07-01,1168.7
2006-06-01,1149.5
2006-05-01,1147.2
2006-04-01,1151.0
2006-03-01,1151.0
2006-02-01,1143.5
2006-01-01,1167.9
2005-12-01,1128.2
2005-11-01,1116.4
2005-10-01,1099.6
2005-09-01,1113.8
2005-08-01,1139.5
2005-07-01,1202.2
2005-06-01,1154.6
2005-05-01,1116.4
2005-04-01,1142.8
2005-03-01,1120.2
2005-02-01,1113.2
2005-01-01,1096.4
2004-12-01,1122.6
2004-11-01,1099.9
2004-10-01,1098.6
2004-09-01,1099.3
2004-08-01,1079.0
2004-07-01,1076.9
2004-06-01,1043.6
2004-05-01,1091.5
2004-04-01,1062.8
2004-03-01,1079.4
2004-02-01,1065.2
2004-01-01,1048.1
2003-12-01,1051.5
2003-11-01,1053.5
2003-10-01,1036.2
2003-09-01,1041.1
2003-08-01,1059.3
2003-07-01,1024.9
2003-06-01,1013.9
2003-05-01,1005.7
2003-04-01,1003.9
2003-03-01,984.6
2003-02-01,956.4
2003-01-01,982.6
2002-12-01,1009.9
2002-11-01,978.5
2002-10-01,969.9
2002-09-01,983.9
2002-08-01,1019.7
2002-07-01,1001.6
2002-06-01,968.0
2002-05-01,962.7
2002-04-01,1001.5
2002-03-01,974.9
2002-02-01,983.2
2002-01-01,970.7
2001-12-01,955.6
2001-11-01,997.0
2001-10-01,1035.1
2001-09-01,904.1
2001-08-01,942.5
2001-07-01,925.0
2001-06-01,934.1
2001-05-01,916.0
2001-04-01,908.3
2001-03-01,925.1
2001-02-01,938.9
2001-01-01,916.5
2000-12-01,913.5
2000-11-01,913.4
2000-10-01,920.6
2000-09-01,931.3
2000-08-01,906.4
2000-07-01,897.3
2000-06-01,898.2
2000-05-01,907.0
2000-04-01,900.6
2000-03-01,923.3
2000-02-01,930.7
2000-01-01,908.6
1999-12-01,889.8
1999-11-01,871.2
1999-10-01,868.0
1999-09-01,876.4
1999-08-01,871.9
1999-07-01,865.2
1999-06-01,867.7
1999-05-01,855.4
1999-04-01,841.3
1999-03-01,827.4
1999-02-01,824.1
1999-01-01,808.4
1998-12-01,838.2
1998-11-01,817.9
1998-10-01,819.4
1998-09-01,800.9
1998-08-01,784.9
1998-07-01,769.4
1998-06-01,771.3
1998-05-01,778.3
1998-04-01,758.1
1998-03-01,740.7
1998-02-01,739.4
1998-01-01,733.0
1997-12-01,746.1
1997-11-01,740.8
1997-10-01,724.7
1997-09-01,720.0
1997-08-01,732.6
1997-07-01,715.7
1997-06-01,702.1
1997-05-01,690.2
1997-04-01,697.5
1997-03-01,711.5
1997-02-01,702.0
1997-01-01,703.3
1996-12-01,687.8
1996-11-01,692.2
1996-10-01,688.8
1996-09-01,683.6
1996-08-01,681.7
1996-07-01,672.9
1996-06-01,669.4
1996-05-01,680.1
1996-04-01,679.5
1996-03-01,670.4
1996-02-01,663.2
1996-01-01,645.8
1995-12-01,668.0
1995-11-01,650.6
1995-10-01,638.1
1995-09-01,651.3
1995-08-01,645.3
1995-07-01,631.0
1995-06-01,642.8
1995-05-01,624.8
1995-04-01,613.2
1995-03-01,627.2
1995-02-01,613.0
1995-01-01,623.6
1994-12-01,630.7
1994-11-01,635.1
1994-10-01,629.6
1994-09-01,613.8
1994-08-01,612.0
1994-07-01,602.1
1994-06-01,600.3
1994-05-01,588.9
1994-04-01,607.0
1994-03-01,593.6
1994-02-01,593.3
1994-01-01,579.6
1993-12-01,578.3
1993-11-01,574.2
1993-10-01,568.9
1993-09-01,559.8
1993-08-01,551.5
1993-07-01,558.6
1993-06-01,548.6
1993-05-01,552.0
1993-04-01,543.0
1993-03-01,521.2
1993-02-01,524.2
1993-01-01,538.1
1992-12-01,532.4
1992-11-01,514.1
1992-10-01,522.7
1992-09-01,517.1
1992-08-01,511.9
1992-07-01,507.2
1992-06-01,511.0
1992-05-01,501.9
1992-04-01,490.0
1992-03-01,491.7
1992-02-01,501.3
1992-01-01,495.6
1991-12-01,480.9
1991-11-01,477.3
1991-10-01,474.1
1991-09-01,487.9
1991-08-01,479.8
1991-07-01,485.4
1991-06-01,477.8
1991-05-01,473.5
1991-04-01,474.4
1991-03-01,495.4
1991-02-01,467.0
1991-01-01,452.7
1990-12-01,474.0
1990-11-01,482.7
1990-10-01,486.1
1990-09-01,495.1
1990-08-01,489.3
1990-07-01,496.3
1990-06-01,494.3
1990-05-01,495.3
1990-04-01,505.7
1990-03-01,503.8
1990-02-01,505.9
1990-01-01,536.4
1989-12-01,491.6
1989-11-01,490.1
1989-10-01,493.9
1989-09-01,500.8
1989-08-01,518.7
1989-07-01,497.4
1989-06-01,492.0
1989-05-01,487.6
1989-04-01,500.4
1989-03-01,481.9
1989-02-01,481.3
1989-01-01,496.2
1988-12-01,498.9
1988-11-01,481.8
1988-10-01,477.9
1988-09-01,468.7
1988-08-01,470.1
1988-07-01,472.4
1988-06-01,477.3
1988-05-01,474.7
1988-04-01,467.8
1988-03-01,472.4
1988-02-01,468.7
1988-01-01,470.3
1987-12-01,459.4
1987-11-01,447.4
1987-10-01,443.1
1987-09-01,460.3
1987-08-01,468.9
1987-07-01,452.4
1987-06-01,445.7
1987-05-01,434.0
1987-04-01,437.6
1987-03-01,428.8
1987-02-01,427.0
1987-01-01,399.7
1986-12-01,468.5
1986-11-01,420.0
1986-10-01,434.9
1986-09-01,486.8
1986-08-01,434.4
1986-07-01,415.9
1986-06-01,403.7
1986-05-01,414.2
1986-04-01,404.0
1986-03-01,384.1
1986-02-01,389.4
1986-01-01,401.4
1985-12-01,391.2
1985-11-01,380.8
1985-10-01,379.2
1985-09-01,422.7
1985-08-01,390.3
1985-07-01,376.3
1985-06-01,369.7
1985-05-01,384.3
1985-04-01,365.7
1985-03-01,373.6
1985-02-01,364.9
1985-01-01,365.5
1984-12-01,360.1
1984-11-01,358.4
1984-10-01,343.0
1984-09-01,345.0
1984-08-01,339.7
1984-07-01,341.5
1984-06-01,346.1
1984-05-01,341.7
1984-04-01,336.0
1984-03-01,328.8
1984-02-01,328.7
1984-01-01,336.8
1983-12-01,328.3
1983-11-01,315.9
1983-10-01,313.7
1983-09-01,302.6
1983-08-01,301.2
1983-07-01,303.4
