Date,Value
2022-07-18,2190.375
2022-07-15,2153.75
2022-07-14,2207.121
2022-07-13,2155.29
2022-07-12,2146.132
2022-07-11,2164.266
2022-07-08,2144.921
2022-07-07,2172.457
2022-07-06,2168.026
2022-07-05,2138.28
2022-07-01,2167.085
2022-06-30,2329.743
2022-06-29,2226.976
2022-06-28,2213.784
2022-06-27,2155.942
2022-06-24,2180.984
2022-06-23,2285.442
2022-06-22,2259.458
2022-06-21,2188.627
2022-06-17,2229.279
2022-06-16,2178.382
2022-06-15,2162.924
2022-06-14,2223.857
2022-06-13,2212.62
2022-06-10,2162.885
2022-06-09,2142.318
2022-06-08,2140.277
2022-06-07,2091.395
2022-06-06,2040.093
2022-06-03,2031.228
2022-06-02,1985.239
2022-06-01,1965.015
2022-05-31,1978.538
2022-05-27,2006.688
2022-05-26,2007.702
2022-05-25,1995.75
2022-05-24,1987.865
2022-05-23,2044.658
2022-05-20,1987.987
2022-05-19,1981.005
2022-05-18,1973.373
2022-05-17,1877.483
2022-05-16,1833.152
2022-05-13,1865.287
2022-05-12,1900.069
2022-05-11,1876.119
2022-05-10,1864.225
2022-05-09,1858.995
2022-05-06,1861.866
2022-05-05,1844.762
2022-05-04,1815.656
2022-05-03,1796.252
2022-05-02,1796.302
2022-04-29,1906.802
2022-04-28,1818.416
2022-04-27,1803.162
2022-04-26,1819.343
2022-04-25,1783.609
2022-04-22,1765.031
2022-04-21,1854.7
2022-04-20,1866.56
2022-04-19,1817.292
2022-04-18,1738.379
2022-04-14,1706.935
2022-04-13,1815.555
2022-04-12,1710.414
2022-04-11,1758.958
2022-04-08,1750.498
2022-04-07,1734.424
2022-04-06,1731.472
2022-04-05,1710.834
2022-04-04,1692.936
2022-04-01,1666.063
2022-03-31,1871.97
2022-03-30,1785.939
2022-03-29,1718.87
2022-03-28,1688.632
2022-03-25,1676.974
2022-03-24,1707.655
2022-03-23,1803.186
2022-03-22,1763.183
2022-03-21,1728.893
2022-03-18,1715.148
2022-03-17,1659.977
2022-03-16,1613.637
2022-03-15,1583.471
2022-03-14,1608.021
2022-03-11,1557.823
2022-03-10,1568.735
2022-03-09,1542.504
2022-03-08,1525.099
2022-03-07,1461.227
2022-03-04,1483.061
2022-03-03,1533.992
2022-03-02,1526.211
2022-03-01,1552.95
2022-02-28,1596.052
2022-02-25,1603.349
2022-02-24,1650.399
2022-02-23,1738.322
2022-02-22,1699.432
2022-02-18,1674.929
2022-02-17,1647.202
2022-02-16,1644.134
2022-02-15,1608.494
2022-02-14,1666.232
2022-02-11,1635.826
2022-02-10,1634.146
2022-02-09,1653.153
2022-02-08,1674.61
2022-02-07,1679.932
2022-02-04,1642.892
2022-02-03,1640.397
2022-02-02,1626.895
2022-02-01,1584.109
2022-01-31,1654.85
2022-01-28,1615.021
2022-01-27,1583.895
2022-01-26,1613.046
2022-01-25,1599.502
2022-01-24,1614.002
2022-01-21,1706.127
2022-01-20,1678.931
2022-01-19,1656.576
2022-01-18,1597.137
2022-01-14,1598.887
2022-01-13,1636.742
2022-01-12,1536.981
2022-01-11,1527.02
2022-01-10,1560.421
2022-01-07,1530.096
2022-01-06,1510.553
2022-01-05,1492.787
2022-01-04,1495.692
2022-01-03,1579.526
2021-12-31,1904.582
2021-12-30,1696.476
2021-12-29,1642.506
2021-12-28,1637.064
2021-12-27,1580.347
2021-12-23,1577.78
2021-12-22,1699.277
2021-12-21,1748.285
2021-12-20,1758.041
2021-12-17,1704.586
2021-12-16,1657.626
2021-12-15,1621.097
2021-12-14,1584.488
2021-12-13,1599.768
2021-12-10,1507.147
2021-12-09,1500.027
2021-12-08,1484.192
2021-12-07,1455.038
2021-12-06,1487.996
2021-12-03,1475.464
2021-12-02,1448.585
2021-12-01,1427.347
2021-11-30,1517.956
2021-11-29,1459.339
2021-11-26,1451.108
2021-11-24,1452.897
2021-11-23,1571.98
2021-11-22,1573.769
2021-11-19,1575.384
2021-11-18,1584.097
2021-11-17,1520.0
