Date,Value
2023-09-01,31.04
2023-08-31,31.09
2023-08-01,31.9
2023-07-31,31.99
2023-06-30,31.07
2023-06-01,29.59
2023-05-31,29.3
2023-05-01,29.36
2023-03-31,29.35
2023-03-01,28.7
2023-02-28,28.84
2023-02-01,29.92
2023-01-31,29.61
2023-01-01,28.34
2022-12-01,29.87
2022-11-30,29.9
2022-11-01,28.37
2022-10-31,28.53
2022-09-30,26.84
2022-09-01,29.72
2022-08-31,29.64
2022-08-01,30.9
2022-07-01,29.55
2022-06-30,29.24
2022-06-01,32.07
2022-05-31,32.31
2022-04-01,36.83
2022-03-31,36.71
2022-03-01,35.25
2022-02-28,35.8
2022-02-01,37.56
2022-01-31,37.31
2022-01-01,36.94
2021-12-31,39.98
2021-12-01,38.08
2021-11-30,38.54
2021-11-01,39.29
2021-10-01,37.63
2021-09-30,37.2
2021-09-01,39.07
2021-08-31,39.06
2021-07-01,37.92
2021-06-30,38.11
2021-06-01,37.27
2021-04-30,37.56
2021-04-01,36.16
2021-03-31,35.74
2021-03-01,35.33
2021-02-01,34.37
2021-01-01,34.51
2020-12-31,34.19
2020-12-01,33.46
2020-11-30,33.08
2020-10-01,31.05
2020-09-30,30.89
2020-09-01,32.45
2020-08-31,32.21
2020-07-31,30.49
2020-07-01,29.22
2020-06-30,29.07
2020-06-01,28.73
2020-05-01,26.5
2020-04-30,27.27
2020-04-01,23.32
2020-03-31,24.4
2020-02-28,28.05
2020-01-31,30.84
2020-01-01,30.99
2019-12-31,30.97
2019-11-01,30.28
2019-05-31,28.34
2019-01-01,28.38
2018-01-01,33.31
2017-01-01,28.06
2016-01-01,24.21
2015-01-01,26.49
2014-01-01,24.86
2013-01-01,21.9
2012-01-01,21.21
2011-01-01,22.98
2010-01-01,20.53
2009-01-01,15.17
2008-01-01,24.02
2007-01-01,27.21
2006-01-01,26.47
2005-01-01,26.59
2004-01-01,27.66
2003-01-01,22.9
2002-01-01,30.28
2001-01-01,36.98
2000-01-01,43.77
1999-01-01,40.57
1998-01-01,32.86
1997-01-01,28.33
1996-01-01,24.76
1995-01-01,20.22
1994-01-01,21.41
1993-01-01,20.32
1992-01-01,19.77
1991-01-01,15.61
1990-01-01,17.05
1989-01-01,15.09
1988-01-01,13.9
1987-01-01,14.92
1986-01-01,11.72
1985-01-01,10.0
1984-01-01,9.89
1983-01-01,8.76
1982-01-01,7.39
1981-01-01,9.26
1980-01-01,8.85
1979-01-01,9.26
1978-01-01,9.24
1977-01-01,11.44
1976-01-01,11.19
1975-01-01,8.92
1974-01-01,13.53
1973-01-01,18.71
1972-01-01,17.26
1971-01-01,16.46
1970-01-01,17.09
1969-01-01,21.19
1968-01-01,21.51
1967-01-01,20.43
1966-01-01,24.06
1965-01-01,23.27
1964-01-01,21.63
1963-01-01,19.26
1962-01-01,21.2
1961-01-01,18.47
1960-01-01,18.34
1959-01-01,17.98
1958-01-01,13.79
1957-01-01,16.72
1956-01-01,18.29
1955-01-01,15.99
1954-01-01,12.0
1953-01-01,13.01
1952-01-01,12.53
1951-01-01,11.9
1950-01-01,10.75
1949-01-01,10.25
1948-01-01,10.42
1947-01-01,11.47
1946-01-01,15.62
1945-01-01,11.96
1944-01-01,11.05
1943-01-01,10.15
1942-01-01,10.1
1941-01-01,13.9
1940-01-01,16.38
1939-01-01,15.6
1938-01-01,13.51
1937-01-01,21.62
1936-01-01,17.09
1935-01-01,11.5
1934-01-01,13.03
1933-01-01,8.73
1932-01-01,9.31
1931-01-01,16.71
1930-01-01,22.31
1929-01-01,27.08
1928-01-01,18.81
1927-01-01,13.19
1926-01-01,11.34
1925-01-01,9.69
1924-01-01,8.07
1923-01-01,8.15
1922-01-01,6.29
1921-01-01,5.12
1920-01-01,5.99
1919-01-01,6.1
1918-01-01,6.64
1917-01-01,10.99
1916-01-01,12.54
1915-01-01,10.36
1914-01-01,11.64
1913-01-01,13.15
1912-01-01,13.8
1911-01-01,14.05
1910-01-01,14.54
1909-01-01,14.77
1908-01-01,11.9
1907-01-01,17.22
1906-01-01,20.13
1905-01-01,18.46
1904-01-01,15.86
1903-01-01,20.32
1902-01-01,22.34
1901-01-01,20.97
1900-01-01,18.67
1899-01-01,22.92
1898-01-01,19.25
1897-01-01,17.03
1896-01-01,16.58
1895-01-01,16.51
1894-01-01,15.74
1893-01-01,17.65
1892-01-01,19.01
1891-01-01,15.43
1890-01-01,17.22
1889-01-01,15.81
1888-01-01,15.36
1887-01-01,17.52
1886-01-01,16.7
1885-01-01,13.13
1884-01-01,14.43
1883-01-01,15.27
1882-01-01,15.68
1881-01-01,18.47
1880-01-01,14.87
1879-01-01,12.87
1878-01-01,10.57
1877-01-01,9.52
1876-01-01,11.79
1875-01-01,11.41
1874-01-01,11.33
1873-01-01,12.25
1872-01-01,11.9
