Date,Value
2023-03-31,1045.27
2022-12-31,1024.56
2022-09-30,996.29
2022-06-30,1001.47
2022-03-31,1005.63
2021-12-31,1008.02
2021-09-30,983.04
2021-06-30,969.73
2021-03-31,938.53
2020-12-31,927.52
2020-09-30,920.34
2020-06-30,901.97
2020-03-31,885.59
2019-12-31,914.49
2019-09-30,902.94
2019-06-30,884.74
2019-03-31,868.42
2018-12-31,851.62
2018-09-30,843.58
2018-06-30,836.39
2018-03-31,833.44
2017-12-31,826.52
2017-09-30,817.82
2017-06-30,798.64
2017-03-31,785.18
2016-12-31,768.98
2016-09-30,779.61
2016-06-30,765.12
2016-03-31,752.77
2015-12-31,740.29
2015-09-30,744.68
2015-06-30,735.9
2015-03-31,729.29
2014-12-31,726.96
2014-09-30,736.78
2014-06-30,733.84
2014-03-31,717.81
2013-12-31,715.84
2013-09-30,693.22
2013-06-30,679.15
2013-03-31,679.09
2012-12-31,666.97
2012-09-30,661.93
2012-06-30,639.45
2012-03-31,633.04
2011-12-31,613.14
2011-09-30,613.18
2011-06-30,613.08
2011-03-31,594.05
2010-12-31,579.14
2010-09-30,567.95
2010-06-30,541.6
2010-03-31,530.95
2009-12-31,513.58
2009-09-30,498.43
2009-06-30,487.69
2009-03-31,449.43
2008-12-31,451.37
2008-09-30,514.6
2008-06-30,530.7
2008-03-31,530.94
2007-12-31,529.59
2007-09-30,524.0
2007-06-30,516.91
2007-03-31,508.99
2006-12-31,504.39
2006-09-30,491.96
2006-06-30,474.91
2006-03-31,468.63
2005-12-31,453.06
2005-09-30,441.77
2005-06-30,436.9
2005-03-31,426.79
2004-12-31,414.75
2004-09-30,402.52
2004-06-30,386.23
2004-03-31,376.47
2003-12-31,367.17
2003-09-30,351.89
2003-06-30,346.32
2003-03-31,328.72
2002-12-31,321.72
2002-09-30,334.92
2002-06-30,329.52
2002-03-31,332.74
2001-12-31,338.37
2001-09-30,339.4
2001-06-30,345.87
2001-03-31,347.25
2000-12-31,325.8
2000-09-30,319.6
2000-06-30,312.94
2000-03-31,295.94
1999-12-31,290.68
