Date,Value
2023-10-31,1.6
2023-09-30,1.56
2023-09-01,1.52
2023-08-31,1.54
2023-08-01,1.5
2023-07-31,1.52
2023-06-30,1.58
2023-06-01,1.62
2023-05-31,1.65
2023-05-01,1.64
2023-04-30,1.66
2023-03-31,1.72
2023-03-01,1.69
2023-02-28,1.66
2023-02-01,1.62
2023-01-31,1.7
2022-12-31,1.71
2022-12-01,1.6
2022-11-30,1.69
2022-11-01,1.69
2022-10-31,1.77
2022-09-30,1.7
2022-09-01,1.61
2022-08-31,1.56
2022-08-01,1.55
2022-07-31,1.65
2022-07-01,1.62
2022-06-30,1.64
2022-06-01,1.51
2022-05-31,1.57
2022-04-30,1.43
2022-04-01,1.33
2022-03-31,1.41
2022-03-01,1.4
2022-02-28,1.39
2022-02-01,1.33
2022-01-31,1.33
2021-12-31,1.29
2021-12-01,1.31
2021-11-30,1.29
2021-11-01,1.28
2021-10-31,1.34
2021-10-01,1.33
2021-09-30,1.33
2021-09-01,1.28
2021-08-31,1.32
2021-07-31,1.34
2021-07-01,1.34
2021-06-30,1.37
2021-06-01,1.37
2021-05-31,1.39
2021-04-30,1.39
2021-04-01,1.45
2021-03-31,1.47
2021-03-01,1.49
2021-02-28,1.49
2021-02-01,1.54
2021-01-31,1.53
2020-12-31,1.58
2020-12-01,1.61
2020-11-30,1.65
2020-10-31,1.72
2020-10-01,1.77
2020-09-30,1.75
2020-09-01,1.69
2020-08-31,1.74
2020-07-31,1.85
2020-07-01,1.91
2020-06-30,1.92
2020-06-01,1.95
2020-05-31,2.04
2020-05-01,2.1
2020-04-30,2.16
2020-04-01,2.41
2020-03-31,2.25
2020-02-29,1.8
2020-02-28,1.97
2020-01-31,1.79
2019-12-31,1.83
2019-11-30,1.86
2019-11-01,1.87
2019-10-31,1.93
2019-09-30,1.92
2019-08-31,1.96
2019-07-31,1.88
2019-06-30,1.94
2019-05-31,1.95
2019-04-30,1.9
2019-03-31,1.96
2019-02-28,1.98
2019-01-31,2.08
2018-12-31,2.09
2018-11-30,1.96
2018-10-31,1.9
2018-09-30,1.8
2018-08-31,1.82
2018-07-31,1.84
2018-06-30,1.85
2018-05-31,1.88
2018-04-30,1.9
