Date,Value
2023-03-31,-11.49
2022-12-31,-12.7
2022-09-30,6.68
2022-06-30,21.1
2022-03-31,54.38
2021-12-31,110.21
2021-09-30,78.55
2021-06-30,59.99
2021-03-31,10.2
2020-12-31,-32.51
2020-09-30,-26.09
2020-06-30,-26.64
2020-03-31,-13.44
2019-12-31,5.35
2019-09-30,1.92
2019-06-30,10.44
2019-03-31,16.42
2018-12-31,20.49
2018-09-30,21.77
2018-06-30,17.75
2018-03-31,15.11
2017-12-31,16.21
2017-09-30,20.19
2017-06-30,19.67
2017-03-31,16.02
2016-12-31,9.27
2016-09-30,-1.73
2016-06-30,-8.42
2016-03-31,-12.91
2015-12-31,-15.42
2015-09-30,-14.44
2015-06-30,-7.96
2015-03-31,-1.59
2014-12-31,2.11
2014-09-30,12.28
2014-06-30,13.38
2014-03-31,14.99
2013-12-31,15.82
2013-09-30,9.1
2013-06-30,3.45
2013-03-31,-0.95
2012-12-31,-0.51
2012-09-30,-0.55
2012-06-30,4.83
2012-03-31,8.89
2011-12-31,12.41
2011-09-30,21.04
2011-06-30,24.99
2011-03-31,33.45
2010-12-31,51.76
2010-09-30,473.05
2010-06-30,793.48
2010-03-31,788.19
2009-12-31,242.54
2009-09-30,-72.71
2009-06-30,-85.38
2009-03-31,-88.64
2008-12-31,-77.52
2008-09-30,-41.54
2008-06-30,-39.51
2008-03-31,-27.37
2007-12-31,-18.81
2007-09-30,0.04
2007-06-30,14.0
2007-03-31,14.42
2006-12-31,16.73
2006-09-30,18.2
2006-06-30,17.75
2006-03-31,20.67
2005-12-31,19.27
2005-09-30,15.06
2005-06-30,12.66
2005-03-31,15.81
2004-12-31,20.13
2004-09-30,49.74
2004-06-30,62.52
2004-03-31,71.5
2003-12-31,76.66
2003-09-30,28.43
2003-06-30,29.21
2003-03-31,22.75
2002-12-31,11.75
2002-09-30,6.11
2002-06-30,-27.32
2002-03-31,-45.64
2001-12-31,-50.62
2001-09-30,-47.28
2001-06-30,-29.14
2001-03-31,-10.81
2000-12-31,3.8
2000-09-30,22.16
2000-06-30,26.57
2000-03-31,32.75
1999-12-31,27.74
1999-09-30,15.41
1999-06-30,5.26
1999-03-31,-2.93
1998-12-31,-5.06
1998-09-30,-6.27
1998-06-30,-3.9
1998-03-31,-1.74
1997-12-31,2.56
1997-09-30,12.89
1997-06-30,16.16
1997-03-31,18.21
1996-12-31,14.05
1996-09-30,2.33
1996-06-30,1.39
1996-03-31,4.58
1995-12-31,10.98
1995-09-30,28.72
1995-06-30,36.63
1995-03-31,43.33
1994-12-31,39.79
1994-09-30,33.9
1994-06-30,30.37
1994-03-31,14.47
1993-12-31,14.67
1993-09-30,13.14
1993-06-30,13.37
1993-03-31,22.54
1992-12-31,19.54
1992-09-30,1.23
1992-06-30,-12.16
1992-03-31,-22.68
1991-12-31,-25.16
1991-09-30,-18.03
1991-06-30,-8.7
1991-03-31,-3.37
1990-12-31,-6.69
1990-09-30,-8.23
1990-06-30,-15.7
1990-03-31,-13.18
1989-12-31,-3.71
