Date,Value
2023-10-01,4288.39
2023-09-01,4409.1
2023-08-31,4507.66
2023-08-01,4457.36
2023-07-31,4588.96
2023-07-01,4527.76
2023-06-30,4450.38
2023-06-01,4372.67
2023-05-31,4179.83
2023-05-01,4185.7
2023-04-01,4171.23
2023-03-31,4109.31
2023-03-01,4036.8
2023-02-28,3970.15
2023-02-01,4163.57
2023-01-31,4076.6
2023-01-01,4064.66
2022-12-01,4047.22
2022-11-30,4080.11
2022-11-01,4040.06
2022-10-31,3871.98
2022-10-01,3838.75
2022-09-30,3585.62
2022-09-01,3983.08
2022-08-31,3955.0
2022-08-01,4310.98
2022-07-01,4053.66
2022-06-30,3785.38
2022-06-01,4039.94
2022-05-31,4132.15
2022-05-01,4243.97
2022-04-01,4663.44
2022-03-31,4530.41
2022-03-01,4689.44
2022-02-28,4373.94
2022-02-01,4800.44
2022-01-31,4515.55
2022-01-01,4994.81
2021-12-31,4766.18
2021-12-01,5148.01
2021-11-30,4567.0
2021-11-01,5155.67
2021-10-01,4951.58
2021-09-30,4307.54
2021-09-01,4975.75
2021-08-31,4522.68
2021-08-01,4998.98
2021-07-01,4907.54
2021-06-30,4297.5
2021-06-01,4789.64
2021-05-01,4753.57
2021-04-30,4181.17
2021-04-01,4761.02
2021-03-31,3972.89
2021-03-01,4532.77
2021-02-01,4533.27
2021-01-01,4452.83
2020-12-31,3756.07
2020-12-01,4355.74
2020-11-30,3621.63
2020-11-01,4187.21
2020-10-01,4031.02
2020-09-30,3363.0
2020-09-01,3969.96
2020-08-31,3500.31
2020-08-01,4006.43
2020-07-31,3271.12
2020-07-01,3800.92
2020-06-30,3100.29
2020-06-01,3697.53
2020-05-01,3496.17
2020-04-30,2912.43
2020-04-01,3307.47
2020-03-31,2584.59
2020-03-01,3155.0
2020-02-28,2954.81
2020-02-01,3889.86
2020-01-31,3225.04
2020-01-01,3901.58
2019-12-31,3230.83
2019-12-01,3795.5
2019-11-01,3706.29
2019-10-01,3552.51
2019-09-01,3565.99
2019-08-01,3467.47
2019-07-01,3585.3
2019-06-01,3464.3
2019-05-31,2752.08
2019-05-01,3422.48
2019-04-01,3488.75
2019-03-01,3386.66
2019-02-01,3346.1
2019-01-01,3180.37
