Date,Value
2023-09-01,4515.77
2023-08-31,4507.66
2023-08-01,4576.73
2023-07-31,4588.96
2023-06-30,4450.38
2023-06-01,4221.02
2023-05-31,4179.83
2023-05-01,4167.87
2023-03-31,4109.31
2023-03-01,3951.39
2023-02-28,3970.15
2023-02-01,4119.21
2023-01-31,4076.6
2023-01-01,4064.66
2022-12-01,4076.57
2022-11-30,4080.11
2022-11-01,3856.1
2022-10-31,3871.98
2022-09-30,3585.62
2022-09-01,3966.85
2022-08-31,3955.0
2022-08-01,4118.63
2022-07-01,3825.33
2022-06-30,3785.38
2022-06-01,4101.23
2022-05-31,4132.15
2022-04-01,4545.86
2022-03-31,4530.41
2022-03-01,4306.26
2022-02-28,4373.94
2022-02-01,4546.54
2022-01-31,4515.55
2022-01-01,4994.81
2021-12-31,4766.18
2021-12-01,4513.04
2021-11-30,4567.0
2021-11-01,4613.67
2021-10-01,4357.04
2021-09-30,4307.54
2021-09-01,4524.09
2021-08-31,4522.68
2021-07-01,4319.94
2021-06-30,4297.5
2021-06-01,4202.04
2021-04-30,4181.17
2021-04-01,4019.87
2021-03-31,3972.89
2021-03-01,3901.82
2021-02-01,3773.86
2021-01-01,4452.83
2020-12-31,3756.07
2020-12-01,3662.45
2020-11-30,3621.63
2020-10-01,3380.8
2020-09-30,3363.0
2020-09-01,3526.65
2020-08-31,3500.31
2020-07-31,3271.12
2020-07-01,3115.86
2020-06-30,3100.29
2020-06-01,3055.73
2020-05-01,2830.71
2020-04-30,2912.43
2020-04-01,2470.5
2020-03-31,2584.59
2020-02-28,2954.81
2020-01-31,3225.04
2020-01-01,3901.58
2019-12-31,3230.83
2019-11-01,3066.73
2019-05-31,2752.08
2019-01-01,3180.37
2018-01-01,3455.65
2017-01-01,2876.48
2016-01-01,2486.37
2015-01-01,2664.46
2014-01-01,2391.94
2013-01-01,1973.78
2012-01-01,1761.68
2011-01-01,1788.18
2010-01-01,1592.01
2009-01-01,1258.65
2008-01-01,2005.47
2007-01-01,2160.18
2006-01-01,1979.85
2005-01-01,1902.06
2004-01-01,1877.5
2003-01-01,1513.74
2002-01-01,1976.7
2001-01-01,2341.94
2000-01-01,2592.97
1999-01-01,2333.57
1998-01-01,1830.3
1997-01-01,1478.63
1996-01-01,1221.78
1995-01-01,950.39
1994-01-01,993.3
1993-01-01,937.08
1992-01-01,925.04
1991-01-01,742.45
1990-01-01,819.31
1989-01-01,723.58
1988-01-01,664.74
1987-01-01,730.29
1986-01-01,583.24
1985-01-01,499.39
1984-01-01,501.37
1983-01-01,453.0
1982-01-01,381.91
1981-01-01,469.36
1980-01-01,437.65
1979-01-01,448.22
1978-01-01,443.35
1977-01-01,544.77
1976-01-01,534.87
1975-01-01,427.6
1974-01-01,633.22
1973-01-01,853.33
1972-01-01,771.67
1971-01-01,721.2
1970-01-01,733.53
1969-01-01,879.68
1968-01-01,855.71
1967-01-01,788.1
1966-01-01,901.0
1965-01-01,847.47
1964-01-01,759.62
1963-01-01,657.08
1962-01-01,706.88
1961-01-01,615.29
1960-01-01,608.08
1959-01-01,588.85
1958-01-01,441.43
1957-01-01,505.37
1956-01-01,505.79
1955-01-01,409.37
1954-01-01,290.59
1953-01-01,302.18
1952-01-01,280.26
1951-01-01,256.38
1950-01-01,220.54
1949-01-01,196.5
1948-01-01,192.12
1947-01-01,217.2
1946-01-01,303.99
1945-01-01,232.68
1944-01-01,209.1
1943-01-01,183.31
1942-01-01,174.63
1941-01-01,229.73
1940-01-01,271.68
1939-01-01,274.13
1938-01-01,244.54
1937-01-01,383.02
1936-01-01,306.14
1935-01-01,209.05
1934-01-01,245.16
1933-01-01,168.75
1932-01-01,178.2
1931-01-01,308.57
1930-01-01,389.8
1929-01-01,446.35
1928-01-01,311.11
1927-01-01,235.09
1926-01-01,216.98
1925-01-01,187.77
1924-01-01,156.71
1923-01-01,162.65
1922-01-01,132.62
1921-01-01,114.89
1920-01-01,140.47
1919-01-01,146.07
1918-01-01,158.12
1917-01-01,251.13
1916-01-01,275.44
1915-01-01,227.38
1914-01-01,256.98
1913-01-01,291.36
1912-01-01,306.69
1911-01-01,308.36
1910-01-01,312.61
1909-01-01,311.15
1908-01-01,242.86
1907-01-01,331.66
1906-01-01,357.77
1905-01-01,305.58
1904-01-01,247.7
1903-01-01,299.94
1902-01-01,315.58
1901-01-01,281.54
1900-01-01,237.07
1899-01-01,276.14
1898-01-01,224.97
1897-01-01,200.25
1896-01-01,196.85
1895-01-01,198.61
1894-01-01,193.63
1893-01-01,218.03
1892-01-01,230.79
1891-01-01,190.51
1890-01-01,217.06
1889-01-01,201.35
1888-01-01,194.78
1887-01-01,214.42
1886-01-01,199.82
1885-01-01,157.22
1884-01-01,172.31
1883-01-01,178.56
1882-01-01,178.55
1881-01-01,201.75
1880-01-01,157.05
1879-01-01,132.75
1878-01-01,108.11
1877-01-01,99.63
1876-01-01,126.21
1875-01-01,121.1
1874-01-01,115.66
1873-01-01,121.24
1872-01-01,117.96
1871-01-01,109.41
