Date,Value
2023-09-01,4.32
2023-08-31,4.31
2023-08-01,4.47
2023-07-31,4.48
2023-06-30,4.26
2023-06-01,4.12
2023-05-31,4.08
2023-05-01,4.07
2023-03-31,3.93
2023-03-01,3.97
2023-02-28,3.98
2023-02-01,4.13
2023-01-31,4.09
2022-12-31,3.75
2022-12-01,4.07
2022-11-30,4.07
2022-11-01,3.85
2022-10-31,3.87
2022-09-30,3.6
2022-09-01,3.94
2022-08-31,3.93
2022-08-01,4.09
2022-07-01,3.79
2022-06-30,3.78
2022-06-01,4.07
2022-05-31,4.1
2022-04-01,4.62
2022-03-31,4.51
2022-03-01,4.38
2022-02-28,4.45
2022-02-01,4.62
2022-01-31,4.59
2021-12-31,4.73
2021-12-01,4.65
2021-11-30,4.71
2021-11-01,4.92
2021-10-01,4.64
2021-09-30,4.38
2021-09-01,4.82
2021-08-31,4.82
2021-07-01,4.66
2021-06-30,4.43
2021-06-01,4.53
2021-04-30,4.54
2021-04-01,4.37
2021-03-31,4.23
2021-03-01,4.24
2021-02-01,4.1
2020-12-31,4.05
2020-12-01,4.06
2020-11-30,4.02
2020-10-01,3.82
2020-09-30,3.65
2020-09-01,3.98
2020-08-31,3.95
2020-07-31,3.58
2020-07-01,3.41
2020-06-30,3.44
2020-06-01,3.34
2020-05-01,3.1
2020-04-30,3.18
2020-04-01,2.74
2020-03-31,2.92
2020-02-28,3.27
2020-01-31,3.57
2019-12-31,3.53
2019-11-01,3.53
2019-09-30,3.3
2019-06-30,3.32
2019-05-31,3.23
2019-03-31,3.26
2018-12-31,2.94
2018-09-30,3.45
2018-06-30,3.25
2018-03-31,3.17
2017-12-31,3.23
2017-09-30,3.08
2017-06-30,3.03
2017-03-31,3.01
2016-12-31,2.91
2016-09-30,2.78
2016-06-30,2.74
2016-03-31,2.74
2015-12-31,2.76
2015-09-30,2.58
2015-06-30,2.8
2015-03-31,2.84
2014-12-31,2.83
2014-09-30,2.68
2014-06-30,2.67
2014-03-31,2.61
2013-12-31,2.58
2013-09-30,2.43
2013-06-30,2.37
2013-03-31,2.31
2012-12-31,2.14
2012-09-30,2.18
2012-06-30,2.13
2012-03-31,2.22
2011-12-31,2.05
2011-09-30,1.85
2011-06-30,2.15
2011-03-31,2.23
2010-12-31,2.17
2010-09-30,2.01
2010-06-30,1.9
2010-03-31,2.2
2009-12-31,2.17
2009-09-30,2.12
2009-06-30,1.89
2009-03-31,1.78
2008-12-31,2.0
2008-09-30,2.27
2008-06-30,2.41
2008-03-31,2.49
2007-12-31,2.77
2007-09-30,2.91
2007-06-30,2.91
2007-03-31,2.79
2006-12-31,2.81
2006-09-30,2.72
2006-06-30,2.67
2006-03-31,2.76
2005-12-31,2.76
2005-09-30,2.78
2005-06-30,2.73
2005-03-31,2.77
2004-12-31,2.92
2004-09-30,2.77
2004-06-30,2.95
2004-03-31,2.99
2003-12-31,3.03
2003-09-30,2.83
2003-06-30,2.81
2003-03-31,2.58
2002-12-31,2.73
2002-09-30,2.43
2002-06-30,3.0
2002-03-31,3.45
2001-12-31,3.39
2001-09-30,3.07
2001-06-30,3.54
2001-03-31,3.34
2000-12-31,4.05
2000-09-30,4.49
2000-06-30,4.65
2000-03-31,5.06
1999-12-31,5.05
