Date,Value
2023-10-01,4288.39
2023-09-01,4409.1
2023-08-31,4507.66
2023-08-01,4457.36
2023-07-31,4588.96
2023-07-01,4508.08
2023-06-30,4450.38
2023-06-01,4345.37
2023-05-31,4179.83
2023-05-01,4146.17
2023-04-01,4121.47
2023-03-31,4109.31
2023-03-01,3968.56
2023-02-28,3970.15
2023-02-01,4079.68
2023-01-31,4076.6
2023-01-01,3960.66
2022-12-01,3912.38
2022-11-30,4080.11
2022-11-01,3917.49
2022-10-31,3871.98
2022-10-01,3726.05
2022-09-30,3585.62
2022-09-01,3850.52
2022-08-31,3955.0
2022-08-01,4158.56
2022-07-01,3911.73
2022-06-30,3785.38
2022-06-01,3898.95
2022-05-31,4132.15
2022-05-01,4040.36
2022-04-01,4391.3
2022-03-31,4530.41
2022-03-01,4391.27
2022-02-28,4373.94
2022-02-01,4435.98
2022-01-31,4515.55
2022-01-01,4573.82
2021-12-31,4766.18
2021-12-01,4674.77
2021-11-30,4567.0
2021-11-01,4667.39
2021-10-01,4460.71
2021-09-30,4307.54
2021-09-01,4445.54
2021-08-31,4522.68
2021-08-01,4454.21
2021-07-01,4363.71
2021-06-30,4297.5
2021-06-01,4238.49
2021-05-01,4167.85
2021-04-30,4181.17
2021-04-01,4141.18
2021-03-31,3972.89
2021-03-01,3910.51
2021-02-01,3883.43
2021-01-01,3793.75
2020-12-31,3756.07
2020-12-01,3695.31
2020-11-30,3621.63
2020-11-01,3548.99
2020-10-01,3418.7
2020-09-30,3363.0
2020-09-01,3365.52
2020-08-31,3500.31
2020-08-01,3391.71
2020-07-31,3271.12
2020-07-01,3207.62
2020-06-30,3100.29
2020-06-01,3104.66
2020-05-01,2919.61
2020-04-30,2912.43
2020-04-01,2761.98
2020-03-31,2584.59
2020-03-01,2652.39
2020-02-28,2954.81
2020-02-01,3277.31
2020-01-31,3225.04
2020-01-01,3278.2
2019-12-31,3230.58
2019-12-01,3176.75
2019-11-01,3104.9
2019-10-01,2977.68
2019-09-01,2982.16
2019-08-01,2897.5
2019-07-01,2996.11
2019-06-01,2890.17
2019-05-31,2752.08
2019-05-01,2854.71
2019-04-01,2903.8
2019-03-01,2803.98
2019-02-01,2754.86
2019-01-01,2607.39
