Date,Value
2023-03-31,1790.6
2022-12-31,1752.9
2022-09-30,1714.63
2022-06-30,1663.36
2022-03-31,1616.48
2021-12-31,1566.8
2021-09-30,1511.1
2021-06-30,1462.75
2021-03-31,1393.85
2020-12-31,1362.39
2020-09-30,1364.13
2020-06-30,1372.44
2020-03-31,1408.74
2019-12-31,1415.01
2019-09-30,1392.48
2019-06-30,1378.74
2019-03-31,1361.47
2018-12-31,1343.01
2018-09-30,1325.89
2018-06-30,1292.84
2018-03-31,1259.18
2017-12-31,1231.57
2017-09-30,1203.1
2017-06-30,1185.81
2017-03-31,1169.42
2016-12-31,1150.68
2016-09-30,1138.43
2016-06-30,1131.21
2016-03-31,1127.97
2015-12-31,1127.13
2015-09-30,1136.16
2015-06-30,1145.54
2015-03-31,1156.54
2014-12-31,1163.32
2014-09-30,1154.86
2014-06-30,1141.19
2014-03-31,1126.0
2013-12-31,1116.81
2013-09-30,1115.38
2013-06-30,1104.96
2013-03-31,1095.81
2012-12-31,1092.37
2012-09-30,1076.99
2012-06-30,1073.99
2012-03-31,1069.27
2011-12-31,1052.83
2011-09-30,1032.93
2011-06-30,1007.77
2011-03-31,981.21
2010-12-31,962.71
2010-09-30,945.99
2010-06-30,932.49
2010-03-31,918.98
2009-12-31,908.4
2009-09-30,902.59
2009-06-30,943.25
2009-03-31,998.54
2008-12-31,1042.46
2008-09-30,1080.41
2008-06-30,1071.22
2008-03-31,1048.32
2007-12-31,1025.08
2007-09-30,1005.12
2007-06-30,986.11
2007-03-31,965.19
2006-12-31,952.51
2006-09-30,936.83
2006-06-30,917.93
2006-03-31,898.02
2005-12-31,874.32
2005-09-30,851.94
2005-06-30,828.1
2005-03-31,806.94
2004-12-31,788.17
2004-09-30,756.88
2004-06-30,739.42
2004-03-31,726.93
2003-12-31,710.81
2003-09-30,697.9
2003-06-30,684.42
2003-03-31,678.6
2002-12-31,674.59
2002-09-30,697.75
2002-06-30,710.31
2002-03-31,718.01
2001-12-31,736.88
2001-09-30,738.81
2001-06-30,748.23
2001-03-31,751.27
2000-12-31,745.7
