Date,Value
2022-02-05,253250.0
2022-01-29,255250.0
2022-01-22,247250.0
2022-01-15,232000.0
2022-01-08,211000.0
2022-01-01,204500.0
2021-12-25,199750.0
2021-12-18,206500.0
2021-12-11,203500.0
2021-12-04,219750.0
2021-11-27,240000.0
2021-11-20,251000.0
2021-11-13,273250.0
2021-11-06,278500.0
2021-10-30,285250.0
2021-10-23,299750.0
2021-10-16,320000.0
2021-10-09,335000.0
2021-10-02,344750.0
2021-09-25,340500.0
2021-09-18,335750.0
2021-09-11,336500.0
2021-09-04,340000.0
2021-08-28,356250.0
2021-08-21,366750.0
2021-08-14,378000.0
2021-08-07,396750.0
2021-07-31,394500.0
2021-07-24,394250.0
2021-07-17,386500.0
2021-07-10,384500.0
2021-07-03,397000.0
2021-06-26,394000.0
2021-06-19,399000.0
2021-06-12,396250.0
2021-06-05,402750.0
2021-05-29,428750.0
2021-05-22,458500.0
2021-05-15,504750.0
2021-05-08,535250.0
2021-05-01,562250.0
2021-04-24,621000.0
2021-04-17,655750.0
2021-04-10,678750.0
2021-04-03,723500.0
2021-03-27,721500.0
2021-03-20,729500.0
2021-03-13,751750.0
2021-03-06,772250.0
2021-02-27,804500.0
2021-02-20,823500.0
2021-02-13,845750.0
2021-02-06,855500.0
2021-01-30,865750.0
2021-01-23,851750.0
2021-01-16,833500.0
2021-01-09,812750.0
2021-01-02,805000.0
2020-12-26,823000.0
2020-12-19,812000.0
2020-12-12,801750.0
2020-12-05,766500.0
2020-11-28,735250.0
2020-11-21,746750.0
2020-11-14,748250.0
2020-11-07,764750.0
2020-10-31,791000.0
2020-10-24,795250.0
2020-10-17,804000.0
2020-10-10,819500.0
2020-10-03,826250.0
2020-09-26,851000.0
2020-09-19,869000.0
2020-09-12,872000.0
2020-09-05,887000.0
2020-08-29,887500.0
2020-08-22,929500.0
2020-08-15,1027000.0
2020-08-08,1146500.0
2020-08-01,1295500.0
2020-07-25,1384250.0
2020-07-18,1427750.0
2020-07-11,1443250.0
2020-07-04,1441500.0
2020-06-27,1476250.0
2020-06-20,1518500.0
2020-06-13,1625250.0
2020-06-06,1794500.0
2020-05-30,1989000.0
2020-05-23,2283750.0
