Date,Value
2022-01-01,12559.0
2021-12-01,12546.0
2021-11-01,12514.0
2021-10-01,12466.0
2021-09-01,12413.0
2021-08-01,12391.0
2021-07-01,12350.0
2021-06-01,12288.0
2021-05-01,12268.0
2021-04-01,12240.0
2021-03-01,12268.0
2021-02-01,12222.0
2021-01-01,12184.0
2020-12-01,12190.0
2020-11-01,12157.0
2020-10-01,12122.0
2020-09-01,12095.0
2020-08-01,12050.0
2020-07-01,12025.0
2020-06-01,11990.0
2020-05-01,11656.0
2020-04-01,11423.0
2020-03-01,12717.0
2020-02-01,12785.0
2020-01-01,12784.0
2019-12-01,12795.0
2019-11-01,12812.0
2019-10-01,12764.0
2019-09-01,12820.0
2019-08-01,12827.0
2019-07-01,12832.0
2019-06-01,12829.0
2019-05-01,12821.0
2019-04-01,12824.0
2019-03-01,12819.0
2019-02-01,12821.0
2019-01-01,12822.0
2018-12-01,12793.0
2018-11-01,12774.0
2018-10-01,12762.0
2018-09-01,12743.0
2018-08-01,12724.0
2018-07-01,12714.0
2018-06-01,12693.0
2018-05-01,12661.0
2018-04-01,12632.0
2018-03-01,12608.0
2018-02-01,12582.0
2018-01-01,12556.0
2017-12-01,12533.0
2017-11-01,12505.0
2017-10-01,12490.0
2017-09-01,12477.0
2017-08-01,12467.0
2017-07-01,12423.0
2017-06-01,12422.0
2017-05-01,12409.0
2017-04-01,12400.0
2017-03-01,12393.0
2017-02-01,12380.0
2017-01-01,12366.0
2016-12-01,12355.0
2016-11-01,12342.0
2016-10-01,12345.0
2016-09-01,12347.0
2016-08-01,12348.0
2016-07-01,12372.0
2016-06-01,12350.0
2016-05-01,12332.0
2016-04-01,12353.0
2016-03-01,12342.0
2016-02-01,12365.0
2016-01-01,12383.0
2015-12-01,12362.0
2015-11-01,12357.0
2015-10-01,12362.0
2015-09-01,12354.0
2015-08-01,12345.0
2015-07-01,12349.0
2015-06-01,12334.0
2015-05-01,12333.0
2015-04-01,12318.0
2015-03-01,12312.0
2015-02-01,12301.0
2015-01-01,12292.0
2014-12-01,12292.0
2014-11-01,12284.0
2014-10-01,12259.0
2014-09-01,12226.0
2014-08-01,12208.0
2014-07-01,12189.0
2014-06-01,12170.0
2014-05-01,12146.0
2014-04-01,12134.0
2014-03-01,12120.0
