,settlement_date,short_interest,average_volume,days_to_cover
0,2023-10-13,93026130,50198437,1.853168
1,2023-09-29,94725628,58263940,1.625802
2,2023-09-15,107325921,75396415,1.423488
3,2023-08-31,102091714,53191009,1.919342
4,2023-08-15,88851550,62061606,1.431667
5,2023-07-31,105460144,52323234,2.015551
6,2023-07-14,126626604,46666581,2.713432
7,2023-06-30,117870227,58589395,2.011801
8,2023-06-15,121254451,64653388,1.875454
9,2023-05-31,117654782,56986553,2.064606
10,2023-05-15,109883384,58826640,1.867919
11,2023-04-28,124657645,50671368,2.460120
12,2023-04-14,114987957,51432368,2.235712
13,2023-03-31,111566048,66091204,1.688062
14,2023-03-15,107424880,66017030,1.627230
15,2023-02-28,110773312,55269076,2.004255
16,2023-02-15,104341256,79071301,1.319584
17,2023-01-31,115480341,67231604,1.717650
18,2023-01-13,121868919,78086696,1.560687
19,2022-12-30,124024570,85155771,1.456444
20,2022-12-15,121757434,74824553,1.627239
21,2022-11-30,125719918,68776114,1.827959
22,2022-11-15,114431895,94210713,1.214638
